Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Customer ID,Risk Score,Exposure Amount
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2084,61.67,955061.01
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7841,32.96,610058.99
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9046,42.61,218565.73
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1424,71.09,509939.31
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5865,39.53,231362.3
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2412,90.77,948354.56
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2657,47.98,48166.61
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3791,53.39,824177.1
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3130,46.14,550911.31
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5542,27.71,302008.68
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3363,61.63,317758.4
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8124,12.29,574121.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3548,99.27,457041.86
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8323,31.98,241629.17
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6228,20.62,469287.17
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7539,10.38,393564.11
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4279,33.21,862158.31
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2957,80.16,989518.64
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1049,26.3,142821.97
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4747,9.24,216721.63
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4537,18.7,722068.07
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6833,83.82,579289.82
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9704,87.4,53795.43
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2758,51.6,549064.2
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6739,95.43,190759.4
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5784,91.37,803117.45
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1728,76.12,609405.32
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5433,41.7,252827.29
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6310,67.7,239792.48
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8902,29.11,207111.55
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4435,77.73,833552.66
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9109,72.99,985543.03
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7745,36.26,399528.89
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1816,75.52,253175.4
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5342,76.82,810514.7
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3620,49.7,576818.03
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5193,62.08,494218.18
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4878,46.69,119302.69
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8883,58.06,383474.24
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5680,82.79,671876.27
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4525,56.6,130681.78
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5098,45.33,655336.3
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9633,76.53,191217.56
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5283,36.29,927563.73
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5000,15.4,729791.53
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1300,15.73,565959.42
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3765,53.86,158701.38
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9305,51.55,540094.65
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6191,91.71,497541.45
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1488,88.34,652222.51
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1865,67.87,192343.43
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8933,48.95,680730.39
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3388,22.43,848058.31
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9623,33.46,161827.18
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1739,17.31,43041.97
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5115,45.84,937400.68
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9892,25.2,778223.06
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6925,16.27,640994.26
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7815,68.09,135314.32
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7769,90.68,686065.97
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1910,58.74,226585.4
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6557,86.93,918217.23
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5566,84.53,643838.72
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9252,76.11,983623.62
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2335,58.24,854550.67
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4771,75.13,702442.94
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3781,91.22,28131.01
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7985,50.9,492164.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9640,81.47,702668.63
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9321,71.36,300740.58
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8667,1.17,64750.49
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8082,87.11,802297.69
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8174,11.29,157978.37
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8233,1.96,622195.07
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6099,14.78,142226.94
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1402,96.43,986108.99
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4145,4.54,767636.08
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9791,47.23,249776.78
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4263,28.68,548045.54
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5694,62.85,610683.31
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7100,21.18,914022.67
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1604,97.5,609566.16
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3312,18.85,103365.36
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7024,35.48,222928.06
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9695,33.81,181267.74
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8844,57.57,905083.41
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5435,6.89,162790.6
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4765,92.92,23613.05
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7366,66.2,137317.73
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3188,82.03,766361.04
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4513,75.72,696085.97
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5859,17.41,966234.63
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3778,88.1,174083.51
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9184,69.24,183345.23
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8873,87.63,438431.56
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7320,44.21,776194.03
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2002,23.53,351661.06
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6367,20.16,62539.04
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2486,19.07,296469.07
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7834,1.05,676444.86
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6341,48.46,557627.63
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4398,89.43,985490.92
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6972,70.67,735329.51
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3080,87.35,415888.17
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8188,26.09,911790.18
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2022,31.53,95240.68
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2775,97.34,498036.04
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7588,27.37,347559.83
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3129,29.64,737989.62
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6453,76.79,143585.67
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4841,40.24,734385.96
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4744,8.45,208221.67
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9721,73.6,215362.28
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8489,49.0,239626.79
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5519,78.51,968393.43
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4123,22.07,489390.39
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3031,68.5,991108.59
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9763,9.39,181715.84
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2493,43.55,219877.92
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3128,14.2,37877.38
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4402,39.41,742839.7
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5729,46.58,603294.27
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6561,91.32,872884.42
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3277,15.88,736068.83
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7630,13.83,599808.9
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8058,39.46,242832.61
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7344,63.66,553214.83
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5408,28.7,313886.42
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8887,50.4,576424.67
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5318,25.9,936507.09
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1077,53.92,921388.45
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2100,9.63,129010.58
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9729,40.65,708082.45
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5815,13.14,375394.45
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7250,34.33,938702.03
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1393,61.39,992614.33
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9399,15.79,617537.29
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3635,36.47,355636.35
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4496,92.05,268896.23
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8571,74.32,772652.06
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7429,44.68,913780.34
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2450,77.06,864411.86
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1558,0.65,57678.25
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3908,34.04,312610.59
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7492,95.88,934907.12
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4967,55.66,134891.72
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5759,69.04,102435.04
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5395,62.61,285160.02
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5785,60.08,406692.45
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2644,42.69,681640.95
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4529,17.83,707588.31
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5593,44.94,840332.75
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7862,31.8,421183.4
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4037,41.43,707158.77
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6875,34.12,582446.95
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4879,71.68,284555.68
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9649,83.44,459421.58
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6615,25.32,506426.53
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8504,72.39,258375.96
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7783,96.69,299057.32
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5589,73.96,210045.19
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4772,11.29,112965.79
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3859,82.96,416451.05
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8244,85.84,660550.32
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5263,91.62,640908.16
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1889,84.81,524802.82
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7526,78.63,894446.89
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3438,62.6,617378.82
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4564,28.49,718113.53
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5630,58.1,289331.38
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4917,2.89,818599.88
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8952,79.08,442546.82
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5443,71.32,810290.2
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7198,49.96,92821.48
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3145,97.44,54543.3
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5698,69.46,267243.42
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1453,24.89,596441.83
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9306,29.0,959182.69
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3717,6.72,192196.71
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4808,30.26,640136.88
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5424,29.68,255617.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6332,95.67,976399.85
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8020,4.74,921912.55
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6232,93.8,67275.75
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9603,46.34,25841.42
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1025,13.06,288754.1
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3115,33.93,856656.66
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2452,79.85,705628.69
