Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Transaction ID,Customer ID,Transaction Amount,Transaction Type,Region,Fraud Risk Score,Status,Investigator Name,Transaction Date
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,2409e2a9-4bcf-45dc-ba5a-e1d7d1afe0ff,5229,34949.04,Online,Americas,81.61,Flagged,Gabriella Oconnor,2025-09-13
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,ba16478a-bde8-4cf8-b1ee-bc09ce1b0b76,4619,45153.93,Online,Americas,26.92,Reviewed,Ashley Collins,2025-10-06
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,09e430f9-6b80-448a-a42e-0db27fbd072e,6410,23049.93,Online,Americas,46.19,Reviewed,Michael Sanchez,2025-06-17
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,918cdc47-220c-4137-aec0-cd55fb775107,5207,17948.57,Wire Transfer,APAC,90.27,Cleared,Tyler Wagner,2025-03-26
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,42bb3d20-1c12-46f4-bff5-9fa0a1b8e5b0,9113,26210.09,ATM,EMEA,24.44,Cleared,Kelli Pugh,2025-08-03
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,d95cc498-36df-4631-84f7-92dbcb731866,9902,3944.89,Online,EMEA,64.84,Reviewed,Casey Perry,2025-08-30
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,8b1b08b5-26b7-4279-a858-bdeb627c30e5,7092,11591.5,ATM,APAC,95.74,Confirmed Fraud,Lisa Cuevas,2025-03-06
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,6bd7a901-c3b9-43a7-a684-156cf853b272,3738,21308.18,POS,EMEA,83.89,Cleared,Ann Daniels,2025-07-09
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,58a41886-a79a-4635-ae0d-515054244cec,7823,25116.9,ATM,APAC,66.73,Confirmed Fraud,Emily Smith,2025-04-20
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,1ca11dda-e638-4bfc-9a98-a77b805674d5,8594,5755.47,Wire Transfer,Americas,57.94,Cleared,Christopher Wright,2025-02-04
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,93024e8f-d8ce-457a-a7f0-577a82f2b2b2,6895,32925.0,ATM,Americas,49.55,Flagged,Cindy Williams,2025-02-17
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,bbf61db5-32f3-4e49-82e9-c372a6d44290,5046,6878.91,Wire Transfer,EMEA,30.1,Flagged,Robert Cunningham,2025-03-25
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,1329b405-1e76-4909-8012-99b513e2840c,7259,35981.94,ATM,EMEA,36.16,Reviewed,Alison Sexton,2025-06-28
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,7c1dde83-cd8d-4d00-aedc-47944e22a2a0,4103,35811.71,POS,EMEA,7.61,Cleared,Jennifer Jones,2025-07-29
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,dd3adf83-b6a1-487b-9f98-4784caf7d2d6,8856,34101.44,POS,APAC,71.21,Flagged,Michael Kelley,2025-04-27
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,801f05c4-a50a-424c-aecf-13211f6d6e83,7838,37533.85,Wire Transfer,Americas,47.1,Cleared,Brett Gentry,2025-08-31
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,c26c308c-8cfd-45e9-9943-919a968394b0,6134,17682.92,ATM,EMEA,69.7,Reviewed,Nathaniel Fields,2025-06-25
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,15526887-8290-4219-b57c-e0aa9e87495e,1682,38847.95,ATM,EMEA,19.05,Reviewed,Heidi Murphy,2025-09-17
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,e186b715-30f0-47b0-90a9-efcdfe62f54e,6973,21942.39,POS,APAC,15.83,Cleared,Zoe Mccoy,2025-09-08
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,023abc8e-4a8c-46d2-884d-98751ec229b1,3101,10986.7,ATM,Americas,21.74,Cleared,Ruben Coleman,2025-02-13
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,e21287b8-1566-45a3-abe0-e27c3558e480,6941,32374.68,Online,Americas,13.6,Reviewed,Nicole Carpenter,2025-06-23
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,1a21cd23-efcb-48c7-8852-fe330665717f,8152,40617.99,Wire Transfer,Americas,92.69,Confirmed Fraud,Christine Mooney,2025-03-02
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,e1a5b86a-ac42-4a2f-b9c9-300a67eca88e,5004,9218.71,ATM,Americas,72.22,Cleared,William Blackburn,2025-07-11
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,a7edf036-151d-4002-a1e5-b6d2f693399f,3629,20551.69,Wire Transfer,Americas,66.74,Reviewed,Richard Miller,2025-06-24
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,4d1abb9c-a289-4ffa-8322-3d85cef27c02,3706,15084.38,Wire Transfer,EMEA,26.62,Flagged,Robert Reyes,2025-02-01
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,190abcd6-169f-49b9-a994-bbfa8168ba9f,6751,48768.68,POS,EMEA,43.07,Confirmed Fraud,Kathleen Brown,2025-06-01
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,24f124fd-c1f3-4181-8528-a4f17bcebc87,5603,37992.36,Online,Americas,52.43,Cleared,Mark Martinez,2025-10-15
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,d2a3a6de-06ae-4440-a591-b867849aa93e,1428,32097.58,Online,APAC,68.12,Flagged,Meghan Flores,2025-10-14
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,55ec0bef-4446-48a2-8b3e-b7d6396bdbac,1110,26349.96,Online,EMEA,62.04,Flagged,Justin Rivera,2025-02-12
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,fd823cc3-7964-4d65-816e-226edf3faa9d,6268,28511.03,ATM,APAC,2.33,Confirmed Fraud,Joshua Hinton,2025-03-17
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,1852197b-7e72-49fb-8475-2ecdcc03e3a7,2374,38334.25,Wire Transfer,APAC,85.17,Confirmed Fraud,Bethany Baker,2025-07-18
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,c6409f24-2eab-4726-9fb1-81f5c213b2ac,9101,10821.52,ATM,APAC,97.86,Reviewed,Rose Davis,2025-08-05
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,e98576e3-8bc2-4d9a-b2d2-dff880ecfc4a,6128,26289.61,Online,APAC,87.61,Reviewed,Cynthia Vargas,2025-02-26
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,75d84caa-f3ab-48ac-baf5-af48417933bb,3543,14085.77,POS,Americas,32.05,Confirmed Fraud,Jeffrey Reed,2025-02-07
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,03f1b098-fac0-4427-bb79-f18af3c4748d,8007,42229.52,Online,EMEA,93.0,Flagged,Melissa Rose,2025-07-16
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,5a0e6023-c44a-4a2c-b5d7-38f17baf0517,6744,39282.78,Wire Transfer,EMEA,64.26,Reviewed,Michaela Dunn,2025-09-19
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,2a291fe3-15dd-43fb-a0ca-b08d659ba650,4014,12866.13,POS,EMEA,99.29,Flagged,Dana Shaffer,2025-05-15
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,03db0600-4833-4b13-8275-c66737978df3,3396,21372.72,ATM,APAC,69.78,Reviewed,William Curtis,2025-02-16
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,3a11728d-f9fe-4e7e-b617-f4143a192222,9387,30931.46,Online,APAC,37.44,Flagged,Ruth Lamb,2025-09-10
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,0376b68d-7a4a-4c3b-bbaf-f7e5b0474bf0,3167,27292.25,ATM,Americas,85.66,Flagged,Stephen Jones,2025-02-27
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,574d2ae5-0ffd-4237-b892-2bfa013a0d1c,3569,6248.07,POS,Americas,13.83,Confirmed Fraud,William Smith,2025-08-08
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,608b57e9-b8c6-4491-9eee-71ef2c8b2074,4366,40175.07,ATM,APAC,11.8,Cleared,Joseph Henry,2025-03-15
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,29518f77-6f72-4cd9-90af-54926a64abb4,8673,24605.85,ATM,Americas,41.77,Reviewed,Tiffany Lopez,2025-09-26
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,65461ae2-c74b-48c3-950d-80cbac572254,1681,4901.85,POS,Americas,72.37,Cleared,Melissa Williams,2025-09-11
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,ba7860c9-455c-4632-a72d-8a064ad90a34,2336,8658.0,ATM,Americas,40.42,Reviewed,Katrina Daniels,2025-06-25
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,c60915c0-e82f-4334-a25a-537e3e1d6308,1778,7525.65,Online,EMEA,61.0,Cleared,Michelle Cole,2025-10-06
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,b4ad2617-4881-46ba-8a65-1e8e8414ce70,5509,40511.62,Wire Transfer,APAC,70.44,Confirmed Fraud,Tammy Hurley,2025-09-06
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,00da1549-2657-49b0-b79d-834f53ff8f54,2883,32627.5,Online,Americas,23.61,Flagged,Justin King,2025-03-15
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,7c6bfb4d-bd39-4273-988c-c8a7addd37fe,8708,35739.65,Online,EMEA,2.55,Reviewed,Roy Ellis,2025-07-14
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,bd07a234-791e-47d6-9132-78eb25a6554c,6544,7241.13,ATM,EMEA,77.99,Reviewed,Angela Smith,2025-04-25
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,798cc980-90ff-49e4-a5a8-2cf98e9d646c,5259,34769.13,Wire Transfer,APAC,19.95,Flagged,Samuel Miller,2025-09-03
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,fe9a7163-97e9-4d0b-bd8c-e3a7e2851865,1296,41097.15,ATM,Americas,39.75,Flagged,Daniel Rodriguez,2025-03-13
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,2260d4ae-eaee-4136-b830-0afdc920deac,3613,35922.39,Online,APAC,66.01,Confirmed Fraud,Travis Freeman,2025-03-17
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,43ad3408-48e5-4c0a-9dc3-8f0821470b4e,6407,31681.43,Wire Transfer,EMEA,75.53,Cleared,Angela Barr,2025-07-21
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,6082d184-5bc7-46d5-8c9f-ed1dcb928430,5606,20080.39,ATM,EMEA,80.62,Flagged,Lauren Owens,2025-02-27
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,e8a3283c-60f5-416a-a285-72c032b7106a,8392,31785.11,POS,Americas,71.02,Confirmed Fraud,Michael Wong,2025-04-11
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,23aca18c-abef-42ca-93fb-fce02ec9149f,1860,7386.2,POS,Americas,35.82,Cleared,Randall Wood,2025-07-03
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,c7de1816-9553-4c21-9a89-cfdcd687298d,4380,43784.35,Wire Transfer,Americas,76.24,Cleared,Anna Choi,2025-02-22
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,1407fff3-6165-4957-85b7-6492ac3f8636,9885,9171.63,POS,EMEA,25.64,Flagged,Kelli Anthony,2025-08-16
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,042a60ff-9096-4ef6-8cc1-1ccd20e708e7,6143,9703.4,POS,EMEA,45.27,Cleared,Rebecca Shaw,2025-09-02
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,494a1540-43e1-4bec-9e46-025a82d3e67c,6010,34247.01,ATM,EMEA,61.99,Confirmed Fraud,Jennifer Gardner,2025-05-10
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,861e3ffd-25ef-401f-b9a7-7fd4f7f51396,2601,4607.39,ATM,Americas,20.11,Confirmed Fraud,Robert King,2025-05-30
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,883cf666-b593-45ce-a619-efa30ca17541,6249,37654.05,Online,APAC,67.75,Flagged,David Miller,2025-05-31
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,d6628f23-1dc4-49a7-ae6e-a59c88daba1c,1749,26672.85,ATM,EMEA,26.67,Cleared,Bryan Navarro,2025-06-29
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,2de80027-1aa0-4c40-a133-bb7c6aab9d5e,4332,43996.21,ATM,APAC,50.92,Cleared,Jeanette Pearson DVM,2025-05-27
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,63eda20c-a7df-4491-bda1-4799b6faf811,2097,24202.05,POS,Americas,44.92,Cleared,Nicole Hansen,2025-08-08
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,2b8096f3-f331-455a-bb52-4421579040d0,9934,21440.65,POS,APAC,9.9,Reviewed,Robert Hines,2025-04-10
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,488b70bb-21ad-4a0c-9893-9a0029409aba,9028,49510.95,ATM,Americas,58.98,Cleared,Cassandra Burton,2025-04-14
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,93b7f038-e555-4434-a65e-a3deb12eccd3,4699,20263.0,Wire Transfer,APAC,94.48,Flagged,Brittney Walker,2025-02-04
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,dbdd4a29-1f38-4646-a7ae-9be87227e0e4,7561,44380.18,Online,EMEA,6.23,Cleared,Katherine Flowers,2025-04-07
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,9e219f3b-b0cd-4015-b834-08b1e386f8dd,6050,23642.81,ATM,Americas,43.13,Reviewed,Kaitlyn Wilcox,2025-07-10
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,905d005e-e7c7-40b7-b865-1450d6af8765,7883,2851.82,Online,APAC,32.11,Cleared,Jake Doyle,2025-07-27
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,40794dcc-e2a8-48a4-bfd5-7277e25ff9e3,5957,17520.62,POS,EMEA,33.96,Flagged,Maxwell Ayala,2025-05-14
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,ccc878ae-f179-4f2f-8fa9-f97688525862,2866,27575.53,Wire Transfer,EMEA,15.52,Flagged,Paul Henderson,2025-01-10
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,0a5f8c4c-6348-4646-a5d9-c853b6485b5f,6395,29974.57,ATM,APAC,10.72,Flagged,Isaac Thomas,2025-05-26
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,c1b24a79-760d-419f-a134-b8e63bf01858,9055,34944.81,Wire Transfer,APAC,57.73,Reviewed,Emily Choi,2025-03-14
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,19e7bdaf-334b-4f48-a521-3f1a6bf98fea,4803,4580.93,ATM,APAC,6.23,Cleared,Timothy Kelley,2025-02-21
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,37f14f9a-619f-4f00-8a23-ea3e3fb357cd,1199,2063.0,Wire Transfer,Americas,84.89,Cleared,William Shepard,2025-02-27
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,29ecb84b-a046-4482-ae98-8053b13c60bf,2615,31529.88,Wire Transfer,Americas,5.52,Confirmed Fraud,Jennifer Vaughn,2025-09-25
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,d75138bc-ff44-4f97-98be-937631ccb47b,1442,33708.55,Wire Transfer,EMEA,56.64,Flagged,Renee Doyle,2025-09-04
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,dbfc046e-b0e9-42d4-bc30-4d0522e2c18a,6951,39185.2,Online,Americas,16.58,Cleared,Leah Huffman,2025-10-13
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,56de4968-8c07-4270-ba01-44be6292f23d,7945,26771.34,POS,APAC,61.04,Flagged,Alexander Ford,2025-01-04
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,42941f34-7fb4-47e0-b9f1-113614af320c,9126,8325.75,POS,APAC,62.59,Flagged,Tracie Long,2025-04-17
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,e1fd51e7-561d-4775-8398-36b43b900255,6760,34575.26,ATM,EMEA,20.52,Confirmed Fraud,Stephen Guzman,2025-08-23
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,854ac539-6275-4972-a2cf-40197b74e3fb,7981,37105.37,POS,Americas,82.47,Confirmed Fraud,Megan Ellis,2025-09-08
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,edd2ffe6-fd5c-4be8-aceb-eb593685646d,8002,23251.45,POS,Americas,74.3,Reviewed,Olivia Humphrey,2025-09-29
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,32d1f063-952d-4f32-9a01-1845821d05f3,3402,8487.72,Wire Transfer,Americas,13.37,Confirmed Fraud,Douglas Avila,2025-03-23
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,bf3d02bd-4a3c-484b-960b-8a315ce35881,5074,3431.41,ATM,Americas,77.97,Flagged,Cody Valdez,2025-04-27
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,b54f0f49-3482-4d8e-9d5b-b2484cc51250,9527,48257.02,Wire Transfer,Americas,89.95,Confirmed Fraud,John Todd,2025-02-08
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,6a674424-9bc3-43f7-8649-f5899b01d12c,3962,27884.47,ATM,Americas,60.23,Flagged,Jacqueline Lawson,2025-02-25
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,d2a858a3-aafc-4885-963f-d809a543593c,8657,3741.07,POS,Americas,9.93,Reviewed,Matthew Silva,2025-03-14
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,0da61c34-1eee-435f-a9df-79c9e06ff8c0,5064,23245.47,Wire Transfer,Americas,52.04,Flagged,Ashley Wilson,2025-06-07
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,875d2dea-1ffc-4722-b48d-ec1adced662b,4253,11348.82,ATM,EMEA,91.21,Flagged,Michael Steele,2025-10-14
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,3f5dbe91-e5e0-4ce6-acca-9a3390ea2a36,7900,36942.32,POS,Americas,95.21,Reviewed,Brian Smith,2025-10-10
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,df09d350-8656-458c-8a9b-fa6e4359f191,8512,31254.16,POS,EMEA,33.14,Confirmed Fraud,Kyle Young,2025-05-04
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,f9d17f69-1a36-4f27-8f9f-f6b889ff04ca,1272,44521.99,Wire Transfer,Americas,43.77,Reviewed,Mr. Justin Young,2025-04-03
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,768e8732-ff80-4132-a328-325427ec1fac,4635,9833.37,Wire Transfer,APAC,57.99,Cleared,Samantha Hall,2025-05-04
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,bf038f75-0cd4-4e9f-89f8-5951eb214306,2198,32508.58,Online,APAC,51.42,Flagged,Steven Snyder,2025-09-01
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,07b50adf-8445-4120-aa8a-04f1a8f1d04c,7599,30537.88,Online,EMEA,82.23,Flagged,Victor Watson,2025-09-12
