Customer_ID,Customer_Name,Operation_Risk_Score,Risk_Category,Identified_Operational_Risk,Risk_Value
CUST00466,Customer_466,41.09,Medium,Compliance Breach,458528.35
CUST00467,Customer_467,76.67,Medium,System Outage,471394.75
CUST00468,Customer_468,73.72,Medium,Process Failure,430785.13
CUST00469,Customer_469,94.4,Medium,Process Failure,319898.85
CUST00470,Customer_470,95.76,Medium,Process Failure,451096.34
CUST00471,Customer_471,52.36,Low,Fraud,90707.5
CUST00472,Customer_472,8.46,Medium,Compliance Breach,283551.63
CUST00473,Customer_473,56.88,Medium,Process Failure,218275.68
CUST00474,Customer_474,72.62,High,Fraud,298729.54
CUST00475,Customer_475,98.17,Medium,Compliance Breach,199795.71
CUST00476,Customer_476,99.2,Medium,Fraud,460877.31
CUST00477,Customer_477,58.37,Medium,Fraud,358647.91
CUST00478,Customer_478,20.62,Medium,Fraud,326243.31
CUST00479,Customer_479,58.91,Low,System Outage,248853.39
CUST00480,Customer_480,70.24,Medium,Fraud,115766.8
CUST00481,Customer_481,88.47,High,System Outage,16963.29
CUST00482,Customer_482,30.31,Low,Compliance Breach,154850.47
CUST00483,Customer_483,72.54,Medium,Compliance Breach,253011.03
CUST00484,Customer_484,37.25,Medium,Fraud,489952.89
CUST00485,Customer_485,81.2,Low,Fraud,44431.6
CUST00486,Customer_486,79.5,Medium,System Outage,325987.92
CUST00487,Customer_487,99.23,High,Fraud,159006.44
CUST00488,Customer_488,56.98,Medium,Human Error,375087.63
CUST00489,Customer_489,98.47,High,System Outage,155189.89
CUST00490,Customer_490,70.63,Medium,System Outage,155570.59
CUST00491,Customer_491,65.23,Medium,Compliance Breach,486080.07
CUST00492,Customer_492,72.25,High,System Outage,251572.37
CUST00493,Customer_493,18.26,High,Process Failure,404989.26
CUST00494,Customer_494,11.22,High,Human Error,35883.53
CUST00495,Customer_495,64.21,Medium,Human Error,126496.74
CUST00496,Customer_496,4.17,Low,Fraud,197712.0
CUST00497,Customer_497,13.44,Medium,Fraud,333785.94
CUST00498,Customer_498,45.72,Medium,Compliance Breach,242659.58
CUST00499,Customer_499,67.55,Medium,System Outage,459706.45
CUST00500,Customer_500,10.37,High,Process Failure,405046.41
