Domain,Business_Activity,Sub_Domain,Activity_Description,Value_Type,Data_Domain,Data_Value,Borrower_ID,Borrower_Name,Credit_Score,Loan_Amount,Loan_Type,Risk_Rating
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00141,Borrower_141,626,357699.79,Personal Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00142,Borrower_142,452,4521028.2,Education Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00143,Borrower_143,666,3913315.58,Education Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00144,Borrower_144,775,3028136.63,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00145,Borrower_145,353,4013888.87,Business Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00146,Borrower_146,312,4388226.11,Home Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00147,Borrower_147,404,2419888.15,Education Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00148,Borrower_148,766,2958245.69,Education Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00149,Borrower_149,317,310895.5,Business Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00150,Borrower_150,695,1050401.87,Home Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00151,Borrower_151,834,364873.4,Education Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00152,Borrower_152,621,4134278.37,Auto Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00153,Borrower_153,777,4697044.66,Education Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00154,Borrower_154,577,1600216.85,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00155,Borrower_155,596,955245.15,Personal Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00156,Borrower_156,602,2330897.37,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00157,Borrower_157,494,3509819.72,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00158,Borrower_158,467,265976.29,Personal Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00159,Borrower_159,471,926811.65,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00160,Borrower_160,829,4359473.9,Personal Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00161,Borrower_161,763,2549376.94,Home Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00162,Borrower_162,834,214634.57,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00163,Borrower_163,447,1339158.93,Auto Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00164,Borrower_164,710,4100125.81,Education Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00165,Borrower_165,696,778295.02,Home Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00166,Borrower_166,353,2529201.09,Personal Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00167,Borrower_167,349,540073.32,Business Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00168,Borrower_168,617,2760522.11,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00169,Borrower_169,826,2124938.04,Business Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00170,Borrower_170,411,4386045.03,Home Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00171,Borrower_171,741,3742309.83,Auto Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00172,Borrower_172,334,196132.89,Business Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00173,Borrower_173,619,618443.25,Business Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00174,Borrower_174,400,3505309.17,Personal Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00175,Borrower_175,463,1966843.36,Personal Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00176,Borrower_176,384,4407568.19,Personal Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00177,Borrower_177,635,4809028.66,Business Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00178,Borrower_178,444,4398506.7,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00179,Borrower_179,555,2627221.09,Auto Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00180,Borrower_180,800,4618259.68,Business Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00181,Borrower_181,820,4381873.42,Personal Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00182,Borrower_182,693,1794961.08,Education Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00183,Borrower_183,816,2250045.75,Personal Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00184,Borrower_184,670,3778410.06,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00185,Borrower_185,532,4450310.91,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00186,Borrower_186,462,4376927.66,Auto Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00187,Borrower_187,655,3002461.36,Personal Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00188,Borrower_188,721,4246078.43,Business Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00189,Borrower_189,355,1443691.17,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00190,Borrower_190,606,2207639.71,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00191,Borrower_191,812,3748914.78,Business Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00192,Borrower_192,379,4875729.57,Education Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00193,Borrower_193,413,2055640.88,Business Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00194,Borrower_194,384,207958.94,Education Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00195,Borrower_195,413,531732.48,Business Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00196,Borrower_196,599,1958112.33,Home Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00197,Borrower_197,463,76613.49,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00198,Borrower_198,588,2233345.34,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00199,Borrower_199,692,533806.83,Business Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00200,Borrower_200,319,3470945.08,Business Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00201,Borrower_201,586,122277.98,Home Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00202,Borrower_202,618,700110.76,Education Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00203,Borrower_203,803,4860206.97,Personal Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00204,Borrower_204,540,2602288.31,Business Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00205,Borrower_205,361,4054383.07,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00206,Borrower_206,783,4128621.27,Home Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00207,Borrower_207,603,4696987.94,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00208,Borrower_208,337,3248591.52,Personal Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00209,Borrower_209,792,3224305.61,Personal Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00210,Borrower_210,613,249920.21,Auto Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00211,Borrower_211,535,94113.38,Business Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00212,Borrower_212,677,619093.86,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00213,Borrower_213,441,988731.36,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00214,Borrower_214,617,1732101.84,Education Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00215,Borrower_215,800,755830.49,Business Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00216,Borrower_216,401,812203.09,Personal Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00217,Borrower_217,821,4694505.91,Home Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00218,Borrower_218,335,4693845.11,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00219,Borrower_219,697,2981373.11,Personal Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00220,Borrower_220,654,738708.77,Personal Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00221,Borrower_221,639,4615119.16,Education Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00222,Borrower_222,325,1493534.51,Business Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00223,Borrower_223,743,3572029.32,Education Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00224,Borrower_224,510,1779239.41,Business Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00225,Borrower_225,516,4263720.76,Auto Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00226,Borrower_226,461,1491257.07,Education Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00227,Borrower_227,467,3352554.2,Business Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00228,Borrower_228,797,2737780.37,Personal Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00229,Borrower_229,714,2493880.49,Business Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00230,Borrower_230,656,4068967.54,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00231,Borrower_231,845,2923997.39,Auto Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00232,Borrower_232,302,2151903.82,Home Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00233,Borrower_233,540,3060348.39,Personal Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00234,Borrower_234,510,4705667.45,Home Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00235,Borrower_235,836,4693728.2,Business Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00236,Borrower_236,713,4005253.66,Auto Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00237,Borrower_237,450,4324396.21,Personal Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00238,Borrower_238,368,2738044.82,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00239,Borrower_239,435,1391142.94,Personal Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00240,Borrower_240,327,1501585.9,Personal Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00241,Borrower_241,406,235344.25,Home Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00242,Borrower_242,753,3056764.27,Home Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00243,Borrower_243,539,1546644.12,Home Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00244,Borrower_244,789,3616027.87,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00245,Borrower_245,511,2639641.47,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00246,Borrower_246,789,326443.49,Education Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00247,Borrower_247,499,956464.18,Home Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00248,Borrower_248,348,3655925.26,Auto Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00249,Borrower_249,502,1994692.29,Education Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00250,Borrower_250,787,4852603.1,Auto Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00251,Borrower_251,593,2421214.13,Education Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00252,Borrower_252,448,2854500.39,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00253,Borrower_253,430,970462.7,Home Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00254,Borrower_254,750,4527672.87,Auto Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00255,Borrower_255,354,917142.35,Personal Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00256,Borrower_256,789,2893234.91,Auto Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00257,Borrower_257,463,3720623.02,Personal Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00258,Borrower_258,842,2231346.84,Business Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00259,Borrower_259,589,2981910.19,Home Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00260,Borrower_260,368,3986472.46,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00261,Borrower_261,403,4440375.96,Personal Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00262,Borrower_262,804,3658007.31,Auto Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00263,Borrower_263,441,637690.7,Auto Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00264,Borrower_264,430,3637806.53,Home Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00265,Borrower_265,671,972680.44,Auto Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00266,Borrower_266,411,2164609.41,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00267,Borrower_267,630,1065257.99,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00268,Borrower_268,347,3837585.33,Education Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00269,Borrower_269,596,186152.28,Education Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00270,Borrower_270,472,2352234.47,Home Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00271,Borrower_271,406,3944943.07,Home Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00272,Borrower_272,618,524088.26,Business Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00273,Borrower_273,477,2432880.53,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00274,Borrower_274,378,812829.28,Business Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00275,Borrower_275,847,2331782.78,Education Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00276,Borrower_276,342,1809040.91,Personal Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00277,Borrower_277,838,1761862.45,Home Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00278,Borrower_278,605,1625284.88,Personal Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00279,Borrower_279,368,3821334.34,Education Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00280,Borrower_280,576,4111488.47,Business Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00281,Borrower_281,597,2810224.76,Education Loan,Medium
