Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Transaction ID,Customer ID,Department,Region,Transaction Amount (USD),Risk Level,Alert Status,Transaction Date,Reviewed By,Customer Country,Remarks
Compliance Oversight,AML Operations,Transaction Surveillance,Identify Suspicious Activities,Compliance,AML Data,Review Alerts,7db33ee9-26ae-4e5e-ab1f-c0c6fcc00c31,210230,Risk,EMEA,23727.91,Critical,Pending Review,2025-07-10,Zachary Gordon,Pitcairn Islands,Green performance your increase itself card.
Financial Crime Prevention,AML Operations,Transaction Surveillance,Identify Suspicious Activities,Compliance,Transaction Data,Screen Customer Transactions,51f510d4-8096-4cf7-952c-57429d9872e1,350705,Compliance,Americas,76970.17,Low,Escalated,2025-06-02,Julia Moore,Mauritania,Forget figure position bad opportunity ago.
Risk Management,AML Operations,Transaction Surveillance,Monitor High-Risk Accounts,Compliance,Compliance Data,Review Alerts,a3d6ce49-6818-4aeb-9c98-d4f2608133bd,324312,Compliance,EMEA,12196.94,High,Escalated,2025-07-03,Jennifer Carney,Latvia,Process alone among century.
Risk Management,AML Operations,Transaction Surveillance,Monitor High-Risk Accounts,Compliance,Transaction Data,Flag Suspicious Transactions,a7db4f7e-2433-4c5d-b134-c556f6ac8fc7,898356,Operations,APAC,13845.24,Critical,Confirmed Suspicious,2025-10-03,Caleb Huang,Western Sahara,Every general push yes husband clear kitchen.
Compliance Oversight,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Security,Transaction Data,Flag Suspicious Transactions,a1f85c23-87ff-482a-9d77-22baa05c74c3,206429,Operations,EMEA,28398.61,Critical,Confirmed Suspicious,2025-05-26,Brenda Sullivan,Haiti,Radio owner plant challenge middle start.
Risk Management,AML Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Risk Prevention,Transaction Data,Screen Customer Transactions,e7843f15-df37-415f-8f22-10dac9c99e7a,500154,Risk,APAC,77063.98,Low,Cleared,2025-07-14,Benjamin Clark,Tunisia,Reflect herself firm individual kind deal case cup.
Risk Management,AML Operations,Customer Risk Review,Identify Suspicious Activities,Security,Transaction Data,Review Alerts,8bde3ba8-f53a-4bdd-8a5b-ae96abef4ea6,834323,Fraud Detection,EMEA,85253.53,High,Confirmed Suspicious,2025-04-11,Christopher Smith,South Georgia and the South Sandwich Islands,Answer good would data people poor talk.
Compliance Oversight,Risk and Compliance Operations,Transaction Surveillance,Monitor High-Risk Accounts,Security,Transaction Data,Screen Customer Transactions,c7015adb-bec1-4f30-80cf-bda8dd9c9120,802797,Risk,EMEA,46963.76,High,Cleared,2025-01-22,Cheyenne Sanders,Egypt,Garden take attorney write direction.
Risk Management,AML Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Security,Transaction Data,Screen Customer Transactions,7b9def80-14a3-495d-b5f0-728eecfb63fa,737640,Operations,APAC,64462.59,Low,Cleared,2025-02-18,Alexander Logan,New Caledonia,Man Democrat end beautiful.
Risk Management,AML Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Risk Prevention,Compliance Data,Review Alerts,0f56a650-e1d8-425a-9d7b-79e40d5b3293,648397,Operations,Americas,83719.84,Critical,Pending Review,2025-01-27,Nancy Rhodes,Isle of Man,Range him go relationship letter may just.
Financial Crime Prevention,Risk and Compliance Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Compliance,AML Data,Review Alerts,871274ed-69c9-426a-b5de-f2f20ceba2dc,782470,Compliance,EMEA,7121.6,High,Confirmed Suspicious,2025-01-26,Christopher Reyes,Niger,Activity entire letter.
Risk Management,Risk and Compliance Operations,Transaction Surveillance,Identify Suspicious Activities,Compliance,Transaction Data,Screen Customer Transactions,4c03f135-b0ad-48a7-978f-0006ae2285f1,867415,Risk,EMEA,95977.72,Critical,Confirmed Suspicious,2025-01-10,William Higgins,Brunei Darussalam,Energy hope result feeling home moment.
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Compliance,AML Data,Flag Suspicious Transactions,af0c8ab4-6f39-4406-8af6-9addbb3fefff,226393,Operations,EMEA,33304.85,Medium,Escalated,2025-04-18,Anthony Miller,France,Section lot save financial debate institution.
Financial Crime Prevention,Fraud and Risk Control,Customer Risk Review,Monitor High-Risk Accounts,Compliance,Transaction Data,Flag Suspicious Transactions,07ca17de-dde6-42d3-9724-e0579e9d3a18,370339,Risk,EMEA,20126.52,Critical,Confirmed Suspicious,2025-05-01,Kevin Miller,Brunei Darussalam,Reflect consumer should record and ball environment treat.
Financial Crime Prevention,Risk and Compliance Operations,Customer Risk Review,Identify Suspicious Activities,Risk Prevention,Transaction Data,Flag Suspicious Transactions,a6249195-8cfb-4047-973a-3530206e174e,848074,Risk,APAC,53709.72,Medium,Escalated,2025-01-08,Mary Harvey,Jamaica,Notice senior office car whole woman.
Risk Management,AML Operations,Transaction Surveillance,Screen Customer Transactions,Security,Transaction Data,Flag Suspicious Transactions,3e6def78-7441-4420-a119-5fe02a385547,973758,Risk,Americas,87386.88,Critical,Cleared,2025-06-21,Caitlin Cardenas,Poland,Myself cost power whether world.
Risk Management,AML Operations,Transaction Surveillance,Monitor High-Risk Accounts,Risk Prevention,AML Data,Flag Suspicious Transactions,b68f0b8a-ec5f-448b-89db-2cb6726302f1,568186,Fraud Detection,Americas,94104.04,Critical,Escalated,2025-08-08,Andrew Gill,United Kingdom,Cause risk spend member interest event employee.
Compliance Oversight,Risk and Compliance Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Risk Prevention,Transaction Data,Flag Suspicious Transactions,92d4765c-1b6a-4d1b-a24b-b5783303bbe9,219176,Risk,Americas,20117.87,High,Escalated,2025-07-13,Theresa Hoover,Tokelau,Up available need imagine whole continue.
Risk Management,Risk and Compliance Operations,Transaction Surveillance,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,4054f186-c6dc-4419-a2c5-bdbb3fb4322e,437107,Risk,APAC,83357.76,Critical,Escalated,2025-03-13,Peggy Kelly,Guam,Professional edge be thought operation bank dark level.
Risk Management,AML Operations,Transaction Surveillance,Identify Suspicious Activities,Security,Transaction Data,Review Alerts,d94e96e0-b54e-49cd-8980-ea7c5168dc12,570044,Fraud Detection,EMEA,14057.58,Medium,Confirmed Suspicious,2025-04-24,Trevor Kline,Eritrea,Management six radio economic against another.
Financial Crime Prevention,AML Operations,Transaction Surveillance,Identify Suspicious Activities,Risk Prevention,Transaction Data,Screen Customer Transactions,921b5c3d-db4e-439e-8e8d-42cde0e20873,660411,Risk,APAC,14414.12,Low,Escalated,2025-05-05,Andrew Willis,Cayman Islands,Record church agent democratic agent local west.
Risk Management,Risk and Compliance Operations,Customer Risk Review,Identify Suspicious Activities,Compliance,AML Data,Review Alerts,c78e09fd-c020-4991-ab68-a8fee6bd6967,906439,Fraud Detection,Americas,82303.12,Critical,Confirmed Suspicious,2025-05-16,Amanda Parrish,Pitcairn Islands,Although training minute suddenly chair near important.
Financial Crime Prevention,Risk and Compliance Operations,Transaction Surveillance,Monitor High-Risk Accounts,Risk Prevention,AML Data,Flag Suspicious Transactions,77546dd1-3ab1-4211-9b43-70c0a5d6f0b6,243157,Operations,Americas,66478.76,Low,Confirmed Suspicious,2025-09-21,Savannah Shepherd,Niue,Bag listen cup her room.
Risk Management,Risk and Compliance Operations,Customer Risk Review,Identify Suspicious Activities,Security,AML Data,Flag Suspicious Transactions,c54f447c-b5ac-4ecc-8629-ea0ba10d2155,939951,Risk,EMEA,12246.66,Medium,Pending Review,2025-09-07,Teresa Savage,Australia,Each where movie song.
Financial Crime Prevention,Risk and Compliance Operations,Customer Risk Review,Identify Suspicious Activities,Compliance,AML Data,Screen Customer Transactions,5dd30813-9e40-4d35-8adc-2e1b3ab698ef,297148,Fraud Detection,APAC,1223.41,High,Confirmed Suspicious,2025-09-10,Andrew Martinez,Cambodia,Likely generation modern as reduce capital opportunity middle.
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Security,Transaction Data,Flag Suspicious Transactions,96b5e3eb-51bf-4dc0-9bf1-3942f6a17b8a,801961,Operations,Americas,42618.68,High,Pending Review,2025-06-09,Jonathan Taylor,French Guiana,Offer degree science movement sort community receive.
Risk Management,Risk and Compliance Operations,Transaction Surveillance,Identify Suspicious Activities,Risk Prevention,Transaction Data,Review Alerts,88179532-febc-435b-ba2a-cdfc7d3cb598,499645,Risk,APAC,48867.7,High,Cleared,2025-04-15,Lynn Rodriguez,Hungary,Miss many level last view firm.
Financial Crime Prevention,Risk and Compliance Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Security,AML Data,Review Alerts,5791ef8f-6204-40ff-b745-64fde8f496a3,336983,Fraud Detection,Americas,10515.1,Low,Cleared,2025-09-17,Stephanie Patterson,United States of America,None what evidence four industry.
Risk Management,Risk and Compliance Operations,Customer Risk Review,Monitor High-Risk Accounts,Security,Compliance Data,Flag Suspicious Transactions,7c5fdb81-468e-4fed-84f6-a9049f120bfa,955134,Fraud Detection,EMEA,30685.0,Low,Confirmed Suspicious,2025-05-22,Lisa Mcknight,Estonia,Understand meet choice national.
Risk Management,Risk and Compliance Operations,Customer Risk Review,Screen Customer Transactions,Compliance,Transaction Data,Flag Suspicious Transactions,a24a204e-3959-487b-b3b5-ab98d6e2bd81,281067,Risk,EMEA,36136.82,Medium,Confirmed Suspicious,2025-08-11,Cynthia Richards,Cambodia,Medical most board school.
Financial Crime Prevention,AML Operations,Transaction Surveillance,Monitor High-Risk Accounts,Risk Prevention,AML Data,Screen Customer Transactions,2c61438b-4547-4b3c-ae8b-a2dee7b802fe,475004,Compliance,APAC,45173.31,High,Pending Review,2025-01-03,Robert Barrett,Kenya,Create drop cost sign.
Compliance Oversight,AML Operations,Transaction Surveillance,Monitor High-Risk Accounts,Compliance,Compliance Data,Screen Customer Transactions,7d931f1a-ce0c-4f73-a2ca-156d23734e5e,949862,Fraud Detection,EMEA,33256.94,Medium,Cleared,2025-08-23,Kaitlin Foster,Cape Verde,Position real offer big one wait.
Compliance Oversight,Fraud and Risk Control,Anti Money Laundering Monitoring,Screen Customer Transactions,Security,Transaction Data,Review Alerts,6df17561-a6d3-4ae0-bff5-f1726e43284d,961801,Risk,Americas,30605.29,Critical,Confirmed Suspicious,2025-05-12,Michael Evans,Turks and Caicos Islands,Story imagine difficult house quite.
Risk Management,AML Operations,Customer Risk Review,Screen Customer Transactions,Security,AML Data,Screen Customer Transactions,1b774120-7ec4-4ebd-9b22-1f1f34286bd6,109166,Operations,Americas,90835.43,Critical,Confirmed Suspicious,2025-09-15,Vickie Christian,New Zealand,Along less red pretty whom paper everyone finally.
Compliance Oversight,Fraud and Risk Control,Customer Risk Review,Monitor High-Risk Accounts,Compliance,Compliance Data,Review Alerts,8d290b6d-6dde-4979-9418-1df624d0435f,230492,Risk,APAC,97866.62,Medium,Escalated,2025-04-24,Thomas Hicks,Oman,Citizen field future.
Risk Management,Fraud and Risk Control,Transaction Surveillance,Identify Suspicious Activities,Security,Compliance Data,Flag Suspicious Transactions,d053e493-f1cd-404e-8459-b991587ceb72,413125,Compliance,APAC,2952.01,Critical,Pending Review,2025-01-08,Angela Riley,Ukraine,Professional show try raise air firm miss.
Risk Management,Fraud and Risk Control,Transaction Surveillance,Monitor High-Risk Accounts,Compliance,Transaction Data,Flag Suspicious Transactions,025f454e-9cc3-4c91-a18b-01c2446f73ac,261797,Risk,Americas,18616.53,Medium,Confirmed Suspicious,2025-08-12,Nathan Doyle,Comoros,Increase someone citizen near pretty religious sell.
Risk Management,AML Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Compliance,Compliance Data,Flag Suspicious Transactions,1aa550d0-878a-4044-bead-0604fcbb0b67,170523,Risk,EMEA,47654.98,Medium,Escalated,2025-09-04,Madison Bauer,Switzerland,Able write skill necessary build.
Financial Crime Prevention,Risk and Compliance Operations,Transaction Surveillance,Screen Customer Transactions,Security,AML Data,Flag Suspicious Transactions,9d50b386-de57-46c5-a8c5-310fe7eaaa0c,838486,Fraud Detection,APAC,20158.93,Critical,Cleared,2025-02-09,Daniel Guerrero,Madagascar,Past knowledge site would fall political safe.
Financial Crime Prevention,Fraud and Risk Control,Anti Money Laundering Monitoring,Identify Suspicious Activities,Security,Transaction Data,Flag Suspicious Transactions,d4f1cc32-5a86-40a3-8485-6250579b5ae3,828041,Operations,EMEA,24630.69,High,Pending Review,2025-05-09,Heather Jarvis,Belarus,Spend bag offer mission.
Financial Crime Prevention,AML Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Security,Transaction Data,Screen Customer Transactions,961aa102-4c51-46ed-8412-e8a79db850cd,221853,Operations,APAC,87358.87,Low,Escalated,2025-07-07,James Drake,Ukraine,Admit history goal listen join lawyer.
Financial Crime Prevention,AML Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Transaction Data,Flag Suspicious Transactions,96937839-12f0-4748-9fd2-10b52a6c3679,839325,Risk,Americas,26015.68,Medium,Confirmed Suspicious,2025-04-23,Brian Patel,Togo,Score learn too purpose spring party.
Risk Management,Fraud and Risk Control,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Security,Transaction Data,Review Alerts,75784476-7a62-4960-a89d-e6e7001aea97,775707,Operations,EMEA,8211.93,Medium,Cleared,2025-05-21,Chase Henry,Chile,Receive plant note change of various section.
Compliance Oversight,AML Operations,Transaction Surveillance,Screen Customer Transactions,Compliance,AML Data,Screen Customer Transactions,5d5b3c66-7e67-4671-bc74-c305393f7a5e,487650,Operations,EMEA,50631.76,Critical,Escalated,2025-01-10,Alicia Hernandez,Palau,Speech when sell heart.
Financial Crime Prevention,Risk and Compliance Operations,Transaction Surveillance,Screen Customer Transactions,Security,Compliance Data,Review Alerts,5527c641-0cdb-44b3-9aa3-fb49544ce495,916714,Compliance,EMEA,45460.13,Critical,Cleared,2025-10-14,Rachel Williams,Kyrgyz Republic,Indicate than ten world stay change.
Risk Management,Risk and Compliance Operations,Transaction Surveillance,Monitor High-Risk Accounts,Security,Transaction Data,Review Alerts,49416b8e-25a2-4fa5-8dab-6d83a03f0674,161111,Fraud Detection,EMEA,52774.01,Medium,Escalated,2025-01-17,Jeffrey Horn,Tunisia,Crime safe place buy.
Compliance Oversight,AML Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Risk Prevention,Transaction Data,Flag Suspicious Transactions,2a309759-6b73-4739-8d79-a61118f92f51,876656,Risk,APAC,28363.19,Medium,Cleared,2025-05-30,Rachel Weaver,Iraq,Keep read stand our decide how.
Risk Management,Fraud and Risk Control,Customer Risk Review,Monitor High-Risk Accounts,Risk Prevention,AML Data,Review Alerts,ed51bd1f-029d-4a81-b761-bad3e7e20c33,494178,Risk,Americas,78041.24,Medium,Cleared,2025-04-30,Alexander Smith,Cape Verde,On black field candidate may past north issue.
Financial Crime Prevention,AML Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Security,Transaction Data,Review Alerts,0a762170-92d9-46f3-8871-b79dd54ae905,688208,Compliance,EMEA,17750.91,Low,Cleared,2025-03-08,Melissa Savage,Albania,Game more hundred partner agent.
Financial Crime Prevention,AML Operations,Customer Risk Review,Monitor High-Risk Accounts,Compliance,AML Data,Review Alerts,9829c1c6-f8ee-4d11-84c3-1931669e303c,893366,Risk,Americas,43322.21,Low,Escalated,2025-08-02,Ryan Ortiz,Uzbekistan,According without officer phone buy lot all.
Financial Crime Prevention,Fraud and Risk Control,Anti Money Laundering Monitoring,Identify Suspicious Activities,Compliance,Compliance Data,Review Alerts,dc159584-6091-44ab-a711-b68d1cc632b6,978622,Compliance,Americas,60063.43,High,Pending Review,2025-09-02,Alan Williams,Korea,Lead always deal firm guess gun thank.
Risk Management,AML Operations,Transaction Surveillance,Identify Suspicious Activities,Risk Prevention,Transaction Data,Flag Suspicious Transactions,21ea7a98-8a36-473d-9897-c3cc7379be45,588298,Operations,Americas,61015.08,Low,Confirmed Suspicious,2025-08-23,Christian Gardner,Gambia,Check conference thus task sing nearly after.
Financial Crime Prevention,AML Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Security,Compliance Data,Screen Customer Transactions,3f25b6d9-44aa-4b33-9046-97d095b17fd9,174297,Fraud Detection,EMEA,3287.9,Medium,Confirmed Suspicious,2025-04-27,Deborah Thornton,Ireland,Product begin education wonder arm.
Risk Management,AML Operations,Customer Risk Review,Identify Suspicious Activities,Security,Compliance Data,Flag Suspicious Transactions,33cbeea8-38c3-4bac-aab7-71bf56d3a943,809728,Operations,Americas,94954.85,Low,Escalated,2025-10-15,Nancy Morrow,Togo,Each happen season really note skin order.
Risk Management,Risk and Compliance Operations,Customer Risk Review,Monitor High-Risk Accounts,Compliance,Transaction Data,Screen Customer Transactions,0a4afb08-8a51-4788-954a-883066be5f0d,647201,Risk,APAC,91699.28,High,Pending Review,2025-01-19,Jason Vang,Maldives,Late player work wrong.
Compliance Oversight,AML Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Risk Prevention,AML Data,Flag Suspicious Transactions,66c3bbf5-166a-41c4-b6f1-482a4379f1e4,836465,Fraud Detection,EMEA,38903.26,Critical,Escalated,2025-09-17,David Cook,Croatia,Suffer real before six positive.
Compliance Oversight,AML Operations,Transaction Surveillance,Identify Suspicious Activities,Compliance,Transaction Data,Review Alerts,14558b20-2852-43c2-9d12-9e5b93e0997f,678565,Risk,Americas,5928.61,Critical,Escalated,2025-05-03,Kelsey Eaton,Finland,Miss oil mention quickly especially during similar believe.
Risk Management,AML Operations,Customer Risk Review,Monitor High-Risk Accounts,Risk Prevention,AML Data,Review Alerts,5888b705-4a20-423a-b848-aafa7ef8b230,214487,Compliance,APAC,95483.62,Critical,Confirmed Suspicious,2025-09-01,Paul Gutierrez,Dominican Republic,Good over health occur usually score.
Compliance Oversight,AML Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Transaction Data,Review Alerts,c9c3dad3-4d7f-412e-a455-7c2673740389,265542,Compliance,Americas,15032.55,Low,Escalated,2025-05-08,Evan Oliver,Anguilla,Support always defense at various realize.
Risk Management,AML Operations,Customer Risk Review,Identify Suspicious Activities,Risk Prevention,Compliance Data,Review Alerts,f6b00c78-4f25-4966-8018-e72eac9f3683,804582,Fraud Detection,EMEA,90850.67,Medium,Escalated,2025-04-17,Vincent Johnson,Jordan,Admit dream minute street easy successful something.
Compliance Oversight,Fraud and Risk Control,Transaction Surveillance,Identify Suspicious Activities,Risk Prevention,AML Data,Flag Suspicious Transactions,c1420b5e-a719-4ac7-be99-fa6139bb9799,548812,Operations,EMEA,24882.21,Critical,Escalated,2025-01-16,Victoria Griffith,Bermuda,Plant someone behavior thank.
Compliance Oversight,Fraud and Risk Control,Customer Risk Review,Screen Customer Transactions,Compliance,Transaction Data,Flag Suspicious Transactions,cf838462-5869-4da9-8e45-449df37bfa41,292552,Risk,APAC,18393.67,Medium,Escalated,2025-07-16,Melissa Young,Saint Pierre and Miquelon,Growth stock short.
Financial Crime Prevention,AML Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,eb00125e-4998-4e34-b89a-21e93e88ce01,138991,Risk,APAC,54712.66,Critical,Confirmed Suspicious,2025-04-17,Connie Lewis,Western Sahara,Available these listen air wind foreign.
Financial Crime Prevention,Fraud and Risk Control,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Flag Suspicious Transactions,fd331c16-cdf4-4ad6-b356-3fcc1cd846e0,810890,Risk,EMEA,53222.1,Low,Confirmed Suspicious,2025-09-23,Barbara Taylor,Bhutan,Budget western may month reveal audience rise tend.
Risk Management,AML Operations,Customer Risk Review,Screen Customer Transactions,Risk Prevention,Compliance Data,Screen Customer Transactions,9fa3241f-aefd-48ec-95bd-89933dbc55d4,697374,Compliance,APAC,48304.92,Critical,Confirmed Suspicious,2025-06-16,James Escobar,Cape Verde,Food style simple paper few management seek.
Financial Crime Prevention,AML Operations,Transaction Surveillance,Screen Customer Transactions,Risk Prevention,Transaction Data,Flag Suspicious Transactions,a6598f28-3c6c-4189-9287-8e4b8a0d8a89,598758,Fraud Detection,Americas,24864.29,Medium,Pending Review,2025-05-03,Kristen Nguyen,Indonesia,Likely high hope hope.
Risk Management,AML Operations,Transaction Surveillance,Monitor High-Risk Accounts,Compliance,Compliance Data,Review Alerts,c94e505f-3fd8-497d-9bdd-281e8c5be074,840647,Fraud Detection,APAC,92666.4,Medium,Escalated,2025-01-01,Nicole Krause,Bhutan,Court method arrive free black poor this.
Financial Crime Prevention,Risk and Compliance Operations,Customer Risk Review,Identify Suspicious Activities,Compliance,AML Data,Review Alerts,b7de8c91-336b-43da-b7c4-86bab01a192f,539344,Operations,Americas,14422.3,High,Confirmed Suspicious,2025-02-20,Mr. Christian Wyatt,Tanzania,Save training prove hope.
Compliance Oversight,AML Operations,Customer Risk Review,Identify Suspicious Activities,Risk Prevention,AML Data,Review Alerts,80043a1e-ae89-490a-9c5e-6ec31f4b174a,378456,Operations,EMEA,23241.47,Critical,Cleared,2025-05-30,Susan Lee,Grenada,Upon return industry today.
Financial Crime Prevention,Fraud and Risk Control,Customer Risk Review,Screen Customer Transactions,Security,Compliance Data,Review Alerts,21affb66-63c5-40d8-b39f-2d4189138d49,956168,Risk,EMEA,99896.34,Critical,Confirmed Suspicious,2025-01-22,Mark Duffy,Argentina,Tend activity citizen.
Compliance Oversight,Fraud and Risk Control,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Risk Prevention,AML Data,Review Alerts,cec6c30f-7834-4bff-9569-6acf0f018055,173733,Fraud Detection,EMEA,26358.42,Low,Pending Review,2025-04-13,David Gonzalez,United States Minor Outlying Islands,About how carry report.
Compliance Oversight,AML Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Compliance,Transaction Data,Screen Customer Transactions,d7fb51bd-8265-4088-af8d-6cc45dacbd83,162414,Compliance,APAC,37363.8,High,Confirmed Suspicious,2025-02-02,Jared Campbell,Eritrea,Water contain rule customer south simple.
Compliance Oversight,Fraud and Risk Control,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Compliance,Compliance Data,Review Alerts,6aa5b852-1691-4415-b64e-c56aef7381ed,887133,Operations,APAC,59815.89,Critical,Pending Review,2025-01-19,Stephanie Howell,Guadeloupe,Threat approach scene land especially low ability health.
Financial Crime Prevention,AML Operations,Customer Risk Review,Monitor High-Risk Accounts,Risk Prevention,Compliance Data,Screen Customer Transactions,cecd94ef-3090-434c-90f2-e77fc26277ac,279843,Fraud Detection,EMEA,27845.32,Medium,Escalated,2025-05-31,Don Lee,Serbia,Tonight music edge themselves director.
Risk Management,AML Operations,Customer Risk Review,Screen Customer Transactions,Risk Prevention,AML Data,Screen Customer Transactions,389c74a6-e9d2-426f-972a-252bcf06ebc0,622795,Operations,Americas,41246.12,Medium,Cleared,2025-03-04,Crystal Smith,Cook Islands,Music safe student everybody work week first.
Compliance Oversight,Fraud and Risk Control,Transaction Surveillance,Monitor High-Risk Accounts,Risk Prevention,Compliance Data,Screen Customer Transactions,cf65080b-742f-470f-974d-6f745a931ce9,267292,Risk,Americas,25588.95,High,Confirmed Suspicious,2025-05-06,Thomas Marquez,British Indian Ocean Territory (Chagos Archipelago),Theory sense develop their just meet special data.
Compliance Oversight,Fraud and Risk Control,Transaction Surveillance,Monitor High-Risk Accounts,Risk Prevention,AML Data,Screen Customer Transactions,e7895bfd-560b-4c83-a9c0-38d8646e9270,971220,Fraud Detection,APAC,46319.66,Low,Escalated,2025-09-26,Jessica Payne,Rwanda,Consumer outside direction every what.
Risk Management,AML Operations,Transaction Surveillance,Monitor High-Risk Accounts,Security,AML Data,Review Alerts,b8b76522-6626-48c3-821c-3b9345492b83,770784,Risk,EMEA,73337.54,Medium,Escalated,2025-06-07,Sabrina Fernandez,Mayotte,Seem sing key know arm assume two.
Risk Management,Fraud and Risk Control,Customer Risk Review,Monitor High-Risk Accounts,Security,AML Data,Review Alerts,eb082cec-36dc-41b7-895c-fec3d76982fa,898534,Fraud Detection,APAC,73314.0,Low,Confirmed Suspicious,2025-07-09,Joe Roth,Ethiopia,Put plant surface nation executive statement purpose occur.
Risk Management,Risk and Compliance Operations,Customer Risk Review,Screen Customer Transactions,Compliance,AML Data,Flag Suspicious Transactions,a05291b0-3e53-4072-b3a0-c5300109c985,644747,Operations,APAC,53447.21,Low,Pending Review,2025-04-30,Kelly Lewis DDS,Myanmar,Floor social work turn own every.
Risk Management,Risk and Compliance Operations,Transaction Surveillance,Identify Suspicious Activities,Security,Compliance Data,Review Alerts,3e378871-f4b6-475c-9cc7-37b61be3fe13,406437,Fraud Detection,EMEA,64604.53,High,Confirmed Suspicious,2025-07-20,Alan Taylor,Turkey,Available sing very door.
Compliance Oversight,AML Operations,Transaction Surveillance,Identify Suspicious Activities,Security,Transaction Data,Flag Suspicious Transactions,320c8c27-652d-4994-a709-bc60df893c8c,824878,Operations,APAC,91148.37,Medium,Cleared,2025-08-07,Brian Glover,Jersey,Suggest girl one deep.
Risk Management,Fraud and Risk Control,Transaction Surveillance,Identify Suspicious Activities,Compliance,Transaction Data,Screen Customer Transactions,30de4be2-860f-400c-984b-b7448a6276e4,472541,Compliance,APAC,4843.83,Medium,Escalated,2025-09-27,Christopher Anderson,Uzbekistan,Age daughter house part real country.
Compliance Oversight,Fraud and Risk Control,Customer Risk Review,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,991a7760-2d0b-433f-9fbb-a2dcf48481ff,301230,Compliance,Americas,25133.19,Critical,Escalated,2025-02-27,Nicholas Hernandez,Germany,Tough office building film save mission fly us.
Compliance Oversight,Fraud and Risk Control,Transaction Surveillance,Monitor High-Risk Accounts,Compliance,AML Data,Flag Suspicious Transactions,0f192848-8830-4ef6-aad2-047e5e744c81,439399,Operations,Americas,4475.43,Low,Confirmed Suspicious,2025-09-05,Ronald Jones,Liechtenstein,Listen word idea share Republican ground news knowledge.
Financial Crime Prevention,AML Operations,Transaction Surveillance,Screen Customer Transactions,Compliance,Compliance Data,Flag Suspicious Transactions,37452b86-64fd-44e1-ae39-aee3ce9828e2,454433,Operations,APAC,73508.53,Medium,Escalated,2025-03-28,Ashley Brown,Christmas Island,Actually health note result why.
Financial Crime Prevention,Fraud and Risk Control,Anti Money Laundering Monitoring,Screen Customer Transactions,Security,Compliance Data,Review Alerts,34c8dd83-41c8-43fc-aa7d-8a20bb1bcef4,604791,Risk,Americas,89713.32,High,Escalated,2025-05-19,Kirsten Mckinney,Cameroon,Center eye dark institution.
Risk Management,Risk and Compliance Operations,Transaction Surveillance,Identify Suspicious Activities,Security,Transaction Data,Screen Customer Transactions,148ed81d-825d-45ef-8de9-8f9e36b7b989,892549,Fraud Detection,APAC,76056.58,High,Cleared,2025-04-11,James Mcbride,Australia,Car him leg term.
Financial Crime Prevention,AML Operations,Transaction Surveillance,Identify Suspicious Activities,Compliance,Transaction Data,Flag Suspicious Transactions,9bdcf6fc-aac0-4baa-b038-6efa65c87f04,988733,Risk,Americas,65772.31,Low,Escalated,2025-07-18,Mary Morgan,Mauritius,Brother discover probably popular be arrive.
Financial Crime Prevention,Risk and Compliance Operations,Customer Risk Review,Identify Suspicious Activities,Risk Prevention,Transaction Data,Flag Suspicious Transactions,df6fa4a5-bce5-4f70-9736-5aabe2cfbf4b,541331,Compliance,EMEA,79507.93,Critical,Escalated,2025-10-04,Arthur Cox,Ethiopia,Lead culture seven will us wear.
Financial Crime Prevention,AML Operations,Customer Risk Review,Monitor High-Risk Accounts,Risk Prevention,Transaction Data,Flag Suspicious Transactions,f8832c9e-b758-4218-b8ab-e484078d7e65,985898,Risk,Americas,75842.58,Low,Confirmed Suspicious,2025-07-11,Eric Mccarty,Mongolia,And enjoy season result system Republican popular.
