Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Report ID,Transaction ID,Customer ID,Transaction Amount,Transaction Type,Account Type,Region,AML Risk Score,Report Status,Reported By,Report Date
Financial Crime Risk,Risk and Compliance Operations,AML Reporting,Investigate Alerts,Compliance,Transaction Data,Monitor Transactions,fb559b50-341d-47b0-b42b-4621c60f45d9,6b52c71b-16e1-497b-bb2e-060c0374e580,9361,32413.45,ATM,Savings,APAC,59.17,Pending Review,Alexander Diaz,2025-06-28
Financial Crime Risk,Fraud Management,Fraud Detection,Reports Suspicious Activities,Operational Oversight,Audit Data,Reports Suspicious Activities,5aa89a8d-2a5c-4191-8878-24595ffe32b9,c79aac41-ccb2-46fa-af90-5754774778fd,5871,4789.58,POS,Savings,EMEA,85.15,Filed,Joshua Patrick,2025-01-30
Financial Crime Risk,Fraud Management,Fraud Detection,Investigate Alerts,Security Value,Audit Data,Monitor Transactions,b867f49a-bf2f-4345-b76e-257a98f2f46f,6eb4a71c-2a31-4006-9b36-0c06d2c3832c,3305,94039.52,ATM,Current,Americas,0.05,Filed,Christopher Moore,2025-07-23
Operational Risk,AML Operations,Anti Money Laundering Monitoring,Investigate Alerts,Security Value,Transaction Data,Monitor Transactions,6eac888a-04c6-465a-9e2d-574dc234397f,20258476-1ccb-4f0d-807a-0b0a5d798f91,6017,66094.67,ATM,Corporate,EMEA,30.68,Closed,Benjamin Garcia,2025-07-01
Risk Management,AML Operations,Fraud Detection,Investigate Alerts,Compliance,Audit Data,Investigate Alerts,b4f83b22-207e-4274-ba21-39eecd6d5ff4,b33e2c2d-6715-434b-8502-a1a63a0271ce,1718,63010.59,Wire Transfer,Corporate,Americas,97.66,Investigated,Melinda Kelly,2025-03-11
Financial Crime Risk,Risk and Compliance Operations,Anti Money Laundering Monitoring,Reports Suspicious Activities,Security Value,Transaction Data,Reports Suspicious Activities,15497580-cc08-46e5-b2d8-d48005aad96d,a2bf083d-9bc0-4d26-bd39-de45c20d4617,3787,13071.26,Online,Corporate,APAC,45.5,Pending Review,Jason Tran,2025-07-07
Risk Management,Fraud Management,AML Reporting,Reports Suspicious Activities,Security Value,Compliance Data,Monitor Transactions,ca4a1e8f-9415-4691-8b35-5f68befce8e4,37040e20-db5a-4a70-8380-7aafbbbfaaa6,5039,30058.67,Wire Transfer,Savings,Americas,18.23,Filed,Mrs. Maria Johnson,2025-03-14
Operational Risk,Risk and Compliance Operations,AML Reporting,Investigate Alerts,Operational Oversight,Audit Data,Monitor Transactions,57389533-b637-4df1-9700-b1716696d08e,f1aab0f4-2ab9-4d5b-be62-cb5290411d16,6397,5494.86,ATM,Current,EMEA,35.33,Closed,Susan Conway,2025-06-02
Operational Risk,Fraud Management,AML Reporting,Investigate Alerts,Security Value,Audit Data,Monitor Transactions,066ce3f3-e648-40a5-91fd-a8f3238297cd,63b7139d-d6f2-4632-8992-23198d39ce4e,8064,76395.12,Wire Transfer,Savings,Americas,16.28,Closed,Julie Juarez,2025-03-25
Financial Crime Risk,AML Operations,Fraud Detection,Investigate Alerts,Security Value,Audit Data,Reports Suspicious Activities,5b3a76fe-333c-41f1-861f-242714946067,5553fa44-06c6-4c13-b076-aa17917a6e85,7791,43759.3,Wire Transfer,Corporate,Americas,28.8,Closed,Shelby Hanson,2025-09-01
Risk Management,AML Operations,Fraud Detection,Reports Suspicious Activities,Operational Oversight,Audit Data,Reports Suspicious Activities,a3548fdf-a30a-42f8-9f3a-0918e1470504,01a9b07d-d6cb-4073-ae68-36f368a44588,1375,44532.46,ATM,Corporate,Americas,65.52,Investigated,Paul Hoffman,2025-03-29
Operational Risk,AML Operations,Fraud Detection,Investigate Alerts,Operational Oversight,Transaction Data,Investigate Alerts,a11d8bb9-f67e-480a-9970-3eff76681aae,b580f227-bb07-4d95-83cf-31db13c7a5d4,3809,27944.63,Wire Transfer,Savings,EMEA,41.9,Filed,Pamela Campbell,2025-09-27
Financial Crime Risk,AML Operations,AML Reporting,Investigate Alerts,Security Value,Compliance Data,Investigate Alerts,e4cebb1c-d0ab-470e-bcd4-f3f39766ee1e,2adb633e-f117-4baa-bd1e-b67758503000,4367,12629.29,POS,Savings,EMEA,89.36,Pending Review,Brittany Jones,2025-03-31
Financial Crime Risk,Risk and Compliance Operations,Fraud Detection,Investigate Alerts,Security Value,Audit Data,Monitor Transactions,6c1a1f35-a9f8-4bff-b541-6fae20a5c7ec,ee751fc2-f8cc-4275-a0d5-9a35fc6c657d,3347,13795.59,Online,Corporate,APAC,1.81,Closed,Evelyn Mcpherson,2025-10-04
Risk Management,Fraud Management,Anti Money Laundering Monitoring,Reports Suspicious Activities,Security Value,Compliance Data,Investigate Alerts,1539daed-3f60-416a-af76-f5328c5323ae,734dac76-e1eb-488e-87ae-4facd90406a0,4144,38954.27,Online,Current,APAC,14.0,Filed,Christopher Powell,2025-09-03
Operational Risk,AML Operations,AML Reporting,Investigate Alerts,Security Value,Transaction Data,Monitor Transactions,34fcb923-b2a9-45f4-8f0d-637946592bc4,664781c5-9253-4646-bc52-412ba7f4e690,3384,60291.25,Online,Current,APAC,11.39,Closed,Amy Adkins,2025-06-24
Risk Management,Fraud Management,AML Reporting,Investigate Alerts,Operational Oversight,Transaction Data,Monitor Transactions,059909c8-4ced-454a-984a-b659bc2e68c3,59650bdf-474a-41b2-a90a-fa27ff2eb715,5251,51772.89,Wire Transfer,Current,EMEA,93.51,Closed,Mary Mcdowell,2025-06-19
Risk Management,Risk and Compliance Operations,AML Reporting,Investigate Alerts,Security Value,Transaction Data,Reports Suspicious Activities,bb8c5b02-6858-4a63-8e32-49194b81a713,1d77959a-963c-45e6-9ac3-8f021c90049b,2880,62954.46,POS,Savings,EMEA,12.2,Investigated,Sharon Miller,2025-01-22
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Transaction Data,Investigate Alerts,ce89f75f-15a0-4946-bb23-a5c973691c2d,ed70a83e-c4b2-4fcd-a6c8-a9fb8b5a1c05,3558,5752.4,ATM,Current,Americas,63.37,Filed,Jessica Price,2025-05-22
Operational Risk,Fraud Management,Anti Money Laundering Monitoring,Investigate Alerts,Operational Oversight,Audit Data,Reports Suspicious Activities,27417af8-a9fb-4d44-818d-67c829b8bc04,24e9b679-ab3e-4525-bb15-5fb3bb4989c8,4354,22191.29,Wire Transfer,Current,APAC,77.68,Pending Review,Valerie Ramos,2025-10-15
Risk Management,Fraud Management,Anti Money Laundering Monitoring,Reports Suspicious Activities,Compliance,Transaction Data,Monitor Transactions,f3cc57e2-dbc3-4674-a287-2a57be684652,94007473-8b52-49fd-92d7-ddc5054e3c7d,5839,72521.93,POS,Current,APAC,61.93,Closed,Rebekah Cisneros,2025-01-18
Risk Management,Fraud Management,Fraud Detection,Screen Customer Transactions,Compliance,Audit Data,Reports Suspicious Activities,963e99e4-607e-429a-89be-0dec3a003504,b1c75363-7bf4-45af-aa21-4b81e4768ff6,5156,23022.07,POS,Corporate,Americas,54.2,Filed,Daniel Smith,2025-06-07
Financial Crime Risk,Fraud Management,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Audit Data,Reports Suspicious Activities,32669cdb-927b-48ae-949b-8f9f40ecd53f,375731de-b5ae-4494-a71d-ac2814743af6,3391,88992.01,Online,Current,APAC,66.06,Pending Review,Thomas Lewis,2025-01-02
Risk Management,Risk and Compliance Operations,Fraud Detection,Investigate Alerts,Compliance,Transaction Data,Investigate Alerts,e1ef02bd-4da9-4adb-a80b-0aea82c46a20,aae4411f-81c0-494e-945b-7d2c7227f7df,3372,15089.38,Online,Savings,APAC,28.91,Pending Review,Dylan Gomez,2025-08-25
Financial Crime Risk,Risk and Compliance Operations,AML Reporting,Screen Customer Transactions,Compliance,Transaction Data,Investigate Alerts,945b4d8f-e20d-4334-b670-9f65b96123a7,529c57d2-3c5e-41db-88af-a6235238ae6f,8806,23379.68,Online,Corporate,APAC,79.34,Investigated,Amanda Reeves,2025-02-04
Financial Crime Risk,Fraud Management,Anti Money Laundering Monitoring,Screen Customer Transactions,Operational Oversight,Compliance Data,Reports Suspicious Activities,4831312c-6040-4c9d-b7f5-7edf2bf3ea3b,038f263c-1dff-48dc-b51b-e0a660118625,6663,64127.14,ATM,Corporate,Americas,25.01,Pending Review,Tammy Lopez,2025-03-26
Risk Management,Risk and Compliance Operations,Fraud Detection,Reports Suspicious Activities,Operational Oversight,Transaction Data,Reports Suspicious Activities,e6b44fe0-0cc9-41a9-b994-f29e28bc97a5,001f256a-66a8-4ee8-b4c6-e3d826c193ca,5401,46741.24,Wire Transfer,Savings,Americas,62.9,Pending Review,Jonathan Hicks,2025-04-15
Operational Risk,Fraud Management,Fraud Detection,Reports Suspicious Activities,Security Value,Transaction Data,Investigate Alerts,723ac66c-7692-4884-af5a-322ca667d2be,1de951c9-da7b-49eb-b46f-483773055a3c,8722,45324.35,Online,Savings,APAC,83.45,Filed,Jason Miller,2025-01-20
Financial Crime Risk,Fraud Management,Fraud Detection,Investigate Alerts,Compliance,Audit Data,Monitor Transactions,3832c284-540c-4365-86e1-9b34bb660417,b40f109a-4793-488c-b5ac-fa4bd926cd76,1450,1220.88,Wire Transfer,Corporate,EMEA,77.92,Filed,Adrian Ellis,2025-04-16
Risk Management,Risk and Compliance Operations,Fraud Detection,Reports Suspicious Activities,Operational Oversight,Compliance Data,Reports Suspicious Activities,68fc24bd-0970-46f6-a796-c189fa10e187,bb941869-5e0f-403e-a22a-5b9ae4bb1d69,2484,56336.13,ATM,Corporate,EMEA,0.45,Filed,Ashley Soto,2025-06-10
Operational Risk,Fraud Management,AML Reporting,Screen Customer Transactions,Operational Oversight,Compliance Data,Investigate Alerts,c7573a8f-a480-483e-b92c-cf6b79b7281d,0fe2a449-2165-4bac-a8e6-66bd13528de6,5653,50087.1,POS,Corporate,EMEA,14.75,Closed,Judy Marquez,2025-09-02
Risk Management,AML Operations,Anti Money Laundering Monitoring,Reports Suspicious Activities,Compliance,Compliance Data,Monitor Transactions,a3492670-3a57-446c-ab84-372faa55ea3e,fa684740-b3dd-41eb-b3e8-1d9599256d18,5471,37330.49,POS,Corporate,Americas,4.91,Pending Review,Kenneth Sanchez,2025-03-28
Operational Risk,Fraud Management,Fraud Detection,Reports Suspicious Activities,Compliance,Compliance Data,Investigate Alerts,71d52dcf-d409-4b33-a966-e7f81bc768f8,2182e013-1177-4d08-a9a7-1e424268bb8d,8988,78319.09,Wire Transfer,Current,Americas,18.34,Filed,Jennifer Johnson,2025-10-05
Risk Management,AML Operations,AML Reporting,Screen Customer Transactions,Compliance,Audit Data,Monitor Transactions,c51e83ae-0d27-47b2-96ba-46ec6a80df1e,2d3d6301-4d1b-4199-8029-1e97e168565f,9842,7475.9,Wire Transfer,Current,APAC,18.84,Pending Review,Melissa Smith,2025-01-25
Risk Management,Risk and Compliance Operations,Fraud Detection,Reports Suspicious Activities,Security Value,Audit Data,Monitor Transactions,c9e40982-6f25-48e0-926f-a53d49d9f0db,d72a86aa-2077-40f9-8ac7-8a0d0ec8164c,2847,54660.1,Wire Transfer,Savings,EMEA,10.99,Closed,Seth Vega,2025-04-25
Operational Risk,Risk and Compliance Operations,Fraud Detection,Screen Customer Transactions,Operational Oversight,Compliance Data,Reports Suspicious Activities,703a2376-a4d3-4104-bdcc-e7c1f2f5c918,0b307580-59ed-4f59-ae4a-90a809675d02,7020,3402.48,ATM,Savings,EMEA,93.54,Closed,Patty Blankenship,2025-07-31
Operational Risk,Risk and Compliance Operations,Fraud Detection,Screen Customer Transactions,Security Value,Audit Data,Reports Suspicious Activities,cbc5fc65-eee8-4347-b6ef-68fa93cea2f2,180f80a5-5e7c-479f-8781-70a31ff96013,4691,5780.9,ATM,Savings,Americas,79.85,Pending Review,Steven Wheeler,2025-04-09
Financial Crime Risk,Fraud Management,Fraud Detection,Investigate Alerts,Operational Oversight,Compliance Data,Monitor Transactions,4429d804-ef12-459c-a96e-83b4c2cd2d82,fd4555b2-16ad-405c-81ab-230d3f714e85,1188,99351.33,ATM,Savings,APAC,72.25,Investigated,Pamela Roberts MD,2025-02-28
Operational Risk,AML Operations,Fraud Detection,Reports Suspicious Activities,Compliance,Transaction Data,Reports Suspicious Activities,b67a0994-e2be-43b7-be93-45ccbd962c56,f00c7450-bb76-44bd-93cb-747ed9941c4a,5431,42443.79,Online,Savings,Americas,60.05,Filed,Allison Baker,2025-01-11
Operational Risk,Fraud Management,AML Reporting,Reports Suspicious Activities,Security Value,Compliance Data,Monitor Transactions,b62ca078-2c17-4eb8-922c-235a35f2c5ce,12138ec7-a23f-4055-b42f-103a221330e3,6022,56977.27,ATM,Savings,EMEA,28.06,Investigated,Erica Estrada,2025-06-20
Financial Crime Risk,Fraud Management,AML Reporting,Screen Customer Transactions,Compliance,Transaction Data,Monitor Transactions,6595a953-7c93-4452-9c52-aa2add5070c2,9783aa96-8ff2-4b2b-91d6-ef21a6427213,3464,62103.53,Online,Corporate,EMEA,98.46,Investigated,Steven Soto,2025-03-01
Operational Risk,AML Operations,AML Reporting,Reports Suspicious Activities,Operational Oversight,Transaction Data,Monitor Transactions,88351c51-ba0f-411e-99bb-a570282168c3,f533dd68-881e-4b86-8cbc-f91dcc299fe1,4154,17073.12,Online,Savings,EMEA,18.66,Investigated,Monica Chandler,2025-04-10
Financial Crime Risk,Fraud Management,Anti Money Laundering Monitoring,Screen Customer Transactions,Security Value,Audit Data,Investigate Alerts,3559550a-2806-4953-a1fa-567912eaa0a3,788e83be-fcdc-4544-970b-267f355d1790,9735,5929.19,POS,Corporate,EMEA,79.44,Closed,Tara Scott,2025-07-17
Operational Risk,Risk and Compliance Operations,Anti Money Laundering Monitoring,Reports Suspicious Activities,Compliance,Audit Data,Monitor Transactions,32c2e6d5-f72d-4a0d-8382-765226ed7e85,3479f2bf-9277-4162-928c-1528d73932a6,1603,10246.59,Online,Corporate,Americas,91.05,Pending Review,Jessica Klein,2025-04-14
Financial Crime Risk,Risk and Compliance Operations,Anti Money Laundering Monitoring,Investigate Alerts,Operational Oversight,Compliance Data,Monitor Transactions,765437f9-cac8-4b93-8422-2798c3cbbccd,3916dc16-829f-45a0-9ac5-4b19d29c623c,8253,12480.92,POS,Savings,EMEA,97.58,Closed,Dr. Brianna Lee,2025-02-24
Operational Risk,Risk and Compliance Operations,AML Reporting,Screen Customer Transactions,Security Value,Transaction Data,Investigate Alerts,15c2e385-5cde-4cf8-b070-aa3ff72df5eb,a6e11434-62fe-46d5-a3f9-55ef41962947,4645,27477.36,Online,Corporate,EMEA,54.53,Investigated,Jose Shelton,2025-06-19
Operational Risk,Fraud Management,Fraud Detection,Investigate Alerts,Operational Oversight,Compliance Data,Reports Suspicious Activities,d480b55b-9f95-4f69-9e04-c42699ed1e38,85d63188-c617-452b-bed4-7be6d3955c98,6716,80216.95,Wire Transfer,Savings,EMEA,81.04,Investigated,Betty Ward,2025-03-30
Risk Management,Fraud Management,Fraud Detection,Reports Suspicious Activities,Security Value,Audit Data,Reports Suspicious Activities,e56c0fb8-d199-44bf-93d3-7bd1c898a7c0,021b0332-cb42-45f6-819f-1533fa240266,3278,99319.77,POS,Savings,EMEA,86.07,Investigated,Diana Thompson,2025-03-30
Risk Management,Fraud Management,Fraud Detection,Screen Customer Transactions,Compliance,Transaction Data,Monitor Transactions,c8cd571c-949a-4c2c-9868-f31e3bfb303f,e4e7c681-48df-4aae-90ab-2850607c96dd,2861,67107.2,ATM,Current,APAC,71.31,Filed,Michael Oneal,2025-07-17
Financial Crime Risk,Risk and Compliance Operations,AML Reporting,Reports Suspicious Activities,Operational Oversight,Transaction Data,Reports Suspicious Activities,1bfc1027-1118-4b5b-a1ac-df60492287f3,af0f45ca-4802-4536-a8db-79f6aa34ecee,7819,84169.73,POS,Current,Americas,25.93,Investigated,Richard Hill,2025-04-29
Risk Management,AML Operations,AML Reporting,Screen Customer Transactions,Compliance,Transaction Data,Monitor Transactions,4c40633b-5cdb-4a3e-a5e7-37ed2aeab14c,039aeaa4-9bf4-4c5f-bedd-0d2559fb41d9,7772,52760.83,Online,Current,Americas,91.23,Closed,Daniel Graham,2025-10-13
Financial Crime Risk,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Operational Oversight,Transaction Data,Reports Suspicious Activities,7ffbd47b-fba8-468f-a337-9234bd3d48e0,d6335416-d988-4fbb-9ca1-4f6b450c46a9,1686,64147.75,POS,Current,EMEA,26.78,Filed,Matthew Martinez,2025-08-02
Financial Crime Risk,Fraud Management,Anti Money Laundering Monitoring,Reports Suspicious Activities,Security Value,Compliance Data,Monitor Transactions,a5e55488-d3c3-4f5c-b604-f5838458b6a8,c159700c-0151-4de7-96ee-beacd9848b50,2467,39216.24,Wire Transfer,Current,Americas,72.59,Investigated,Tanya Wood,2025-09-23
Financial Crime Risk,AML Operations,AML Reporting,Screen Customer Transactions,Compliance,Audit Data,Reports Suspicious Activities,cfb47702-7a4a-475f-8b96-a1b943b2c8a3,62a3a73f-748b-4567-adc8-8832c5748fee,3750,92712.73,Wire Transfer,Corporate,EMEA,58.08,Closed,Tiffany Huynh,2025-06-04
Operational Risk,Fraud Management,AML Reporting,Investigate Alerts,Security Value,Audit Data,Monitor Transactions,31b09768-7c5f-4068-9453-9e872d0651f5,90f52b4b-f35d-4509-935a-80e03e4454ba,5725,29476.86,Online,Current,Americas,16.69,Pending Review,Tina Davis,2025-09-19
Operational Risk,Risk and Compliance Operations,Fraud Detection,Investigate Alerts,Operational Oversight,Compliance Data,Investigate Alerts,b14469ee-753a-42a3-a568-0064c290f4a5,518e78bb-ad22-4c0c-8d70-d393b411e67a,6269,34487.12,ATM,Current,Americas,89.33,Pending Review,Raymond Miller,2025-09-23
Risk Management,Fraud Management,Fraud Detection,Reports Suspicious Activities,Operational Oversight,Transaction Data,Investigate Alerts,58ce723e-0939-4f62-8a17-e3ee1ee02714,d000daa6-893a-43ab-981e-12e77bc3976a,8952,31454.05,ATM,Current,Americas,79.05,Investigated,Kim Caldwell,2025-08-13
Operational Risk,Fraud Management,Fraud Detection,Investigate Alerts,Security Value,Transaction Data,Monitor Transactions,d185ba2d-4411-4fab-9ce9-be9e9b829026,1b9385eb-00b6-46a5-ae87-f4f0e65ca066,7110,98813.4,POS,Savings,Americas,2.93,Pending Review,Amanda Jordan,2025-08-26
Financial Crime Risk,Risk and Compliance Operations,Anti Money Laundering Monitoring,Investigate Alerts,Compliance,Transaction Data,Reports Suspicious Activities,0f2c44e3-ba1a-4cb1-95ab-4b878407352f,f61050e4-107a-4c88-8c65-10174182b17b,7599,56711.11,POS,Savings,Americas,97.16,Investigated,Amy Gray,2025-07-30
Financial Crime Risk,Risk and Compliance Operations,AML Reporting,Screen Customer Transactions,Compliance,Audit Data,Monitor Transactions,d1f7fd91-fc1e-49f9-b6f7-8e972931e0c9,68122295-86cf-45f5-bafd-51f9f2048639,7687,19587.25,POS,Current,EMEA,69.5,Filed,Deanna Smith,2025-07-08
Risk Management,Fraud Management,Fraud Detection,Investigate Alerts,Security Value,Transaction Data,Investigate Alerts,ead20af1-e794-4b2e-8c0e-f9aa77b6f8fb,d88fa6d8-fdc5-4fd0-821b-931ec48286be,7849,7066.53,ATM,Corporate,APAC,96.76,Filed,Thomas Gutierrez,2025-03-27
Risk Management,Fraud Management,AML Reporting,Reports Suspicious Activities,Operational Oversight,Compliance Data,Monitor Transactions,f1106f82-b42b-4613-84ba-c82d39435eb1,11f17c81-57e5-49b3-9193-a6f41b364dfa,7136,29338.85,Online,Savings,EMEA,46.04,Filed,Christine Wilson,2025-02-06
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Reports Suspicious Activities,Operational Oversight,Audit Data,Investigate Alerts,c12d2fa7-5ad7-4b5d-bb6e-84dfec5f5cad,81e69285-31f4-487f-ad29-5c94740b736f,1337,36936.92,POS,Current,Americas,98.83,Investigated,Stanley James,2025-08-08
Financial Crime Risk,Fraud Management,Fraud Detection,Reports Suspicious Activities,Security Value,Audit Data,Investigate Alerts,fe96998f-fb42-422a-881f-e760d33d5468,e82b2e5d-8678-4621-ab36-f69b7ea07ded,4940,59621.19,ATM,Corporate,Americas,19.63,Pending Review,Sarah Phillips,2025-01-27
Financial Crime Risk,Fraud Management,Anti Money Laundering Monitoring,Reports Suspicious Activities,Operational Oversight,Transaction Data,Monitor Transactions,d1fd04a5-cf95-472a-89a9-cb799ab24493,f179307f-8d44-4e02-974e-971a4efc4850,4083,19044.27,Online,Current,EMEA,61.24,Pending Review,Tina Townsend,2025-05-04
Operational Risk,AML Operations,AML Reporting,Reports Suspicious Activities,Compliance,Compliance Data,Monitor Transactions,11e0a34e-b5e0-4313-9cc7-2c028c404260,3e80196c-f1cc-44f7-95fa-7183e650cea9,4070,43430.3,Online,Corporate,Americas,85.55,Filed,Kristie Tanner,2025-07-10
Operational Risk,Risk and Compliance Operations,Fraud Detection,Screen Customer Transactions,Security Value,Compliance Data,Investigate Alerts,4cdd0df7-86ef-4e49-a4bc-b6ecb0dcfa30,96db345f-6236-4262-a9f0-05aefb21409e,4868,44497.84,POS,Current,APAC,98.88,Filed,Catherine Boyd,2025-06-03
Risk Management,Fraud Management,Anti Money Laundering Monitoring,Reports Suspicious Activities,Security Value,Compliance Data,Reports Suspicious Activities,05e9f616-3e90-4b55-b5a0-332146525821,2f438371-8fee-415d-b578-93b6eeac393b,6734,25238.19,ATM,Corporate,EMEA,78.29,Investigated,Keith Johnson,2025-04-04
Operational Risk,Risk and Compliance Operations,AML Reporting,Investigate Alerts,Operational Oversight,Compliance Data,Monitor Transactions,d4f38d6f-2d0f-4865-bd67-09bcc4a0becc,5dfc3ba8-bec9-4061-a8f6-d2b65cfebb55,5549,66657.75,ATM,Savings,APAC,54.51,Filed,Timothy Parker,2025-07-30
Financial Crime Risk,AML Operations,Fraud Detection,Screen Customer Transactions,Security Value,Transaction Data,Monitor Transactions,0bcc4951-cbc0-4665-8fbc-6de8d4114945,e0a2b6b0-dd2c-48ac-8e20-6410d3bd88d0,6706,53957.75,ATM,Savings,EMEA,76.7,Investigated,Sarah Barnes,2025-04-10
Financial Crime Risk,Risk and Compliance Operations,Anti Money Laundering Monitoring,Investigate Alerts,Compliance,Compliance Data,Investigate Alerts,4bc410cd-de8f-4ba9-b0d9-2289bc8a8d4a,24e6d68a-82fc-42e7-a645-452d12b08423,7727,93906.19,ATM,Corporate,Americas,90.81,Investigated,Marcus Glenn,2025-03-13
Operational Risk,AML Operations,Fraud Detection,Investigate Alerts,Compliance,Audit Data,Monitor Transactions,b10f300c-6a5c-49f9-850a-c23a3a2d7368,b60e5317-5f11-453f-8c40-41bdedc7bcd7,2950,40423.86,ATM,Savings,APAC,63.55,Closed,Jessica Wu,2025-10-08
Financial Crime Risk,Fraud Management,Anti Money Laundering Monitoring,Reports Suspicious Activities,Compliance,Audit Data,Monitor Transactions,f99ff145-e1f8-4b22-beb1-fd99bc7419c5,eba74b41-9bf4-4380-a8e2-2f20283b9a75,7013,27502.18,POS,Current,EMEA,80.11,Closed,Tina Arnold,2025-01-16
Operational Risk,Risk and Compliance Operations,Anti Money Laundering Monitoring,Investigate Alerts,Operational Oversight,Compliance Data,Investigate Alerts,770c9527-d9bd-4657-a65a-fc05ab0b507b,6e2ee24b-8672-4a05-a796-2294521f770f,2006,71358.67,Wire Transfer,Corporate,Americas,79.28,Closed,Christopher Jones,2025-01-14
Operational Risk,AML Operations,Fraud Detection,Reports Suspicious Activities,Security Value,Audit Data,Reports Suspicious Activities,4197e581-7d2e-4b9c-8e60-5b6ba3e25944,554ee032-38e5-4084-b923-4e7c74dd2d28,4273,50889.19,Online,Savings,Americas,43.56,Closed,Molly Brown,2025-08-06
Operational Risk,AML Operations,Anti Money Laundering Monitoring,Investigate Alerts,Compliance,Audit Data,Monitor Transactions,b645e99e-9c15-41ec-81c1-efd93b494542,e020cda1-dc4f-4901-b0f6-b58294b0e3d0,7914,44053.14,Wire Transfer,Corporate,Americas,14.48,Closed,Linda Harrington,2025-06-01
Financial Crime Risk,Risk and Compliance Operations,AML Reporting,Reports Suspicious Activities,Security Value,Transaction Data,Monitor Transactions,f412860c-91ac-4ef1-b6b6-4894d0f0c152,7ebd13d2-e52d-4831-a076-d1f8fabaebd6,3161,9113.88,Online,Current,Americas,85.52,Pending Review,Mr. Christian White DDS,2025-05-25
Risk Management,Risk and Compliance Operations,Fraud Detection,Investigate Alerts,Operational Oversight,Transaction Data,Reports Suspicious Activities,faf715dd-2209-4b5d-8704-ea072998656f,595f01c7-d51a-4851-818c-f02927e846d1,1859,84001.13,Online,Savings,Americas,50.58,Closed,Heather Watson,2025-08-03
Financial Crime Risk,Fraud Management,Anti Money Laundering Monitoring,Screen Customer Transactions,Operational Oversight,Compliance Data,Monitor Transactions,e7fc1884-b5e8-4d56-9bb0-b1af77fdd252,a76dca4a-ed34-49c4-a6dc-6b23eb7c45d0,7085,30773.15,Wire Transfer,Corporate,Americas,78.91,Filed,Holly Evans,2025-01-29
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Investigate Alerts,Operational Oversight,Audit Data,Investigate Alerts,2f875bf9-8e5a-46d6-8287-71e9458cfcbb,95dc864e-da51-44cd-8064-d96e83d5c296,7087,92291.16,Wire Transfer,Savings,EMEA,25.58,Filed,Brandon Arnold,2025-07-01
Financial Crime Risk,Fraud Management,Fraud Detection,Investigate Alerts,Compliance,Audit Data,Monitor Transactions,2c1251c0-af2d-40c3-bb30-05f8507f66b1,450defaa-cd33-4af5-8aeb-182b38e40d4e,5760,78076.75,Wire Transfer,Current,Americas,73.35,Filed,James Bradley,2025-05-31
Operational Risk,AML Operations,Anti Money Laundering Monitoring,Investigate Alerts,Compliance,Audit Data,Investigate Alerts,2048b171-8cd7-498a-a32d-6bec0b471c9e,4dc9cf0b-9332-41e7-b9a3-d5a3181fbeed,9332,39075.08,Wire Transfer,Savings,APAC,93.85,Investigated,Erika Watson,2025-06-08
Financial Crime Risk,Fraud Management,Fraud Detection,Reports Suspicious Activities,Operational Oversight,Transaction Data,Investigate Alerts,0d8efa13-c980-43bf-9209-5c748dc7883c,8451f2c5-0125-41f0-b18d-988463aa3c23,6454,81061.64,Wire Transfer,Corporate,Americas,33.63,Filed,Sean Pace,2025-03-11
Financial Crime Risk,AML Operations,AML Reporting,Reports Suspicious Activities,Compliance,Transaction Data,Monitor Transactions,adc0e040-83e5-4fae-9800-ecf5d7580d9a,b23bc236-9cec-4d8e-9a35-41fc60e9eaad,8839,83759.39,POS,Current,Americas,23.73,Pending Review,Kevin Welch,2025-02-02
Operational Risk,Risk and Compliance Operations,Fraud Detection,Screen Customer Transactions,Compliance,Compliance Data,Monitor Transactions,a445a6c6-111b-4541-a896-9187bc6b3fe4,4c598956-1703-4bec-8345-5e1056c63789,3277,3656.22,ATM,Corporate,APAC,60.28,Investigated,Dr. Joshua Adams DVM,2025-01-04
Operational Risk,Fraud Management,AML Reporting,Reports Suspicious Activities,Security Value,Audit Data,Monitor Transactions,963bd57c-7311-40f8-9e61-dd88c65d58de,f7b48ad1-c5c0-4336-85ac-c1f550277905,1299,91046.9,Online,Savings,APAC,97.44,Filed,William Johnson MD,2025-08-15
Financial Crime Risk,AML Operations,Anti Money Laundering Monitoring,Reports Suspicious Activities,Operational Oversight,Transaction Data,Investigate Alerts,5c5b7912-bd51-4eca-a13c-0be0d2541222,2bd9226d-c975-44b8-a2c5-0b724c73f8e4,4769,48292.48,POS,Current,EMEA,72.79,Closed,Joseph May,2025-02-01
