recommendation_id,trader_id,recommendation_date,instrument_type,instrument_symbol,recommendation_action,target_price_usd,current_price_usd,expected_return_percent,confidence_score,time_horizon_days,rationale_summary,market_sentiment,sector,region,value_domain,data_segment,data_domain
REC100131,TRDR6092,2025-05-04,FX,FX637,Sell,641.61,595.19,7.8,54,345,Yeah security fish firm art political half method democratic hair girl ok.,Neutral,Finance,Middle East,Enterprise,Trade Transaction,Trade Data
REC100132,TRDR5174,2025-08-01,Stock,STO497,Watch,611.48,661.42,-7.55,74,131,Stay car raise break material now wind music school than fish position themselves Republican.,Bullish,Finance,Middle East,Enterprise,Trade Transaction,Trade Data
REC100133,TRDR2869,2025-01-05,Bond,BON548,Buy,2582.7,1928.11,33.95,84,321,Ability first but authority hotel cost marriage work full in.,Bullish,Finance,South America,Enterprise,Trade Transaction,Trade Data
REC100134,TRDR2663,2025-05-16,Commodity,COM796,Buy,1543.16,1125.74,37.08,68,223,Organization figure floor smile do drive six matter kid.,Bullish,Technology,North America,Enterprise,Trade Transaction,Trade Data
REC100135,TRDR1560,2024-10-29,Bond,BON986,Hold,1497.95,1363.14,9.89,57,326,Quality able consumer attorney receive partner already degree traditional example.,Bearish,Energy,North America,Enterprise,Trade Transaction,Trade Data
REC100136,TRDR8577,2025-01-31,Futures,FUT239,Hold,310.27,255.79,21.3,75,189,Eight control film book positive tell ask thing drive.,Bullish,Energy,Europe,Enterprise,Trade Transaction,Trade Data
REC100137,TRDR4958,2025-03-17,Futures,FUT105,Hold,1635.37,1745.33,-6.3,52,215,Life foreign west improve any form center best both.,Neutral,Healthcare,North America,Enterprise,Trade Transaction,Trade Data
REC100138,TRDR7225,2025-08-29,Options,OPT167,Buy,1877.08,1863.29,0.74,87,215,Ago two small share subject everyone vote do difference message travel building.,Neutral,Telecom,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100139,TRDR5310,2025-09-21,FX,FX450,Hold,1147.89,1152.15,-0.37,91,192,Whole rich certainly field consider century box director song service owner.,Bearish,Finance,South America,Enterprise,Trade Transaction,Trade Data
REC100140,TRDR9216,2025-06-08,ETF,ETF611,Hold,2732.67,1964.11,39.13,89,80,Throughout federal shoulder assume dinner color animal among today international speak billion land democratic be whether yeah perform.,Bearish,Consumer Goods,Middle East,Enterprise,Trade Transaction,Trade Data
REC100141,TRDR8232,2025-08-03,Futures,FUT687,Buy,942.96,905.13,4.18,81,59,When least oil team week during some major mean still owner eat.,Bearish,Consumer Goods,Middle East,Enterprise,Trade Transaction,Trade Data
REC100142,TRDR3234,2024-10-20,Derivative,DER275,Hold,173.7,195.34,-11.08,67,98,Million particular unit much group try safe accept city support left thought.,Neutral,Consumer Goods,Europe,Enterprise,Trade Transaction,Trade Data
REC100143,TRDR4812,2025-10-14,Bond,BON716,Sell,1333.81,1424.86,-6.39,96,288,Ask camera century catch difference wind the specific school leg democratic firm sense.,Neutral,Healthcare,Europe,Enterprise,Trade Transaction,Trade Data
REC100144,TRDR4587,2024-11-03,Futures,FUT813,Hold,507.59,367.71,38.04,71,24,Increase worry effort guy society act record management major exactly.,Bullish,Finance,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100145,TRDR4539,2025-05-15,Stock,STO984,Watch,118.78,108.42,9.56,85,15,Sort democratic meet us impact continue smile stand better research instead still city increase pressure watch.,Bearish,Healthcare,North America,Enterprise,Trade Transaction,Trade Data
REC100146,TRDR6578,2025-05-19,Futures,FUT703,Sell,1045.44,1123.77,-6.97,81,177,Second remain room individual notice student economy anything total treat artist yes wonder land probably marriage.,Neutral,Technology,South America,Enterprise,Trade Transaction,Trade Data
REC100147,TRDR5546,2025-09-24,Options,OPT472,Buy,1019.06,1182.75,-13.84,55,236,Tv good sit street degree place travel take me wide daughter memory three.,Bearish,Healthcare,South America,Enterprise,Trade Transaction,Trade Data
REC100148,TRDR4088,2025-02-05,Options,OPT850,Buy,1831.28,1714.04,6.84,64,78,National hotel husband total affect large score mean appear allow part condition leg help difference.,Bullish,Telecom,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100149,TRDR4956,2025-04-03,FX,FX223,Hold,868.87,778.35,11.63,59,148,Accept staff away Mr late dream green management such skill process fund management health tree himself.,Bullish,Industrials,South America,Enterprise,Trade Transaction,Trade Data
REC100150,TRDR9920,2025-01-21,Bond,BON365,Watch,146.66,114.33,28.28,74,345,Whatever coach significant drop wear movie audience tree technology food son hand.,Bullish,Technology,Middle East,Enterprise,Trade Transaction,Trade Data
REC100151,TRDR3102,2024-11-23,Futures,FUT811,Watch,345.28,262.17,31.7,59,282,Community medical else structure big natural early seem every most task foot world movie history yet wide main with stuff stay bad.,Bullish,Industrials,South America,Enterprise,Trade Transaction,Trade Data
REC100152,TRDR2638,2025-08-20,Derivative,DER740,Watch,1954.62,1548.58,26.22,96,351,Wrong inside remain admit stage task woman beautiful challenge machine beat.,Bearish,Technology,Middle East,Enterprise,Trade Transaction,Trade Data
REC100153,TRDR1875,2025-01-08,Futures,FUT631,Watch,43.43,32.87,32.14,53,38,Stay girl end author page television explain really.,Neutral,Technology,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100154,TRDR2160,2025-06-03,ETF,ETF889,Watch,688.73,534.11,28.95,54,298,Office name situation line skill interest final church alone risk consumer under establish wonder shoulder real.,Neutral,Energy,Europe,Enterprise,Trade Transaction,Trade Data
REC100155,TRDR8268,2024-12-02,Derivative,DER735,Hold,299.16,265.0,12.89,81,227,These election rather avoid sport present perhaps six.,Neutral,Healthcare,Europe,Enterprise,Trade Transaction,Trade Data
REC100156,TRDR1630,2025-07-08,Commodity,COM664,Hold,1836.67,1520.8,20.77,62,344,Live operation whatever speak garden effort stock wall tax guess bad director management job rest throughout center example.,Bullish,Telecom,Middle East,Enterprise,Trade Transaction,Trade Data
REC100157,TRDR2125,2025-03-01,ETF,ETF766,Watch,1056.49,861.46,22.64,100,334,For respond suddenly least despite before go nor film.,Bearish,Consumer Goods,North America,Enterprise,Trade Transaction,Trade Data
REC100158,TRDR3941,2025-02-04,Futures,FUT747,Buy,1206.85,868.74,38.92,81,261,Lay ground thank market into want phone high.,Bullish,Industrials,Europe,Enterprise,Trade Transaction,Trade Data
REC100159,TRDR4515,2024-12-11,Commodity,COM191,Sell,394.09,462.06,-14.71,60,134,Recognize something environmental prepare check camera defense along yard.,Bearish,Industrials,Europe,Enterprise,Trade Transaction,Trade Data
REC100160,TRDR4407,2025-05-01,Commodity,COM778,Sell,346.43,265.3,30.58,99,164,Air affect my plant them behavior.,Neutral,Healthcare,Middle East,Enterprise,Trade Transaction,Trade Data
REC100161,TRDR2266,2024-10-24,Bond,BON655,Sell,1360.44,1482.12,-8.21,71,315,Attention ability between out seven investment scene sell skill away think whatever reach message the still.,Bearish,Energy,Middle East,Enterprise,Trade Transaction,Trade Data
REC100162,TRDR2487,2025-04-02,Commodity,COM646,Sell,1966.22,1832.28,7.31,80,104,Win heavy minute middle leader who base hear.,Bullish,Technology,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100163,TRDR4878,2025-09-02,FX,FX288,Sell,79.12,61.85,27.93,63,35,Black training name wife newspaper each poor consumer compare responsibility inside its small site memory share.,Bullish,Industrials,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100164,TRDR9828,2025-06-04,Options,OPT313,Watch,652.24,689.91,-5.46,70,267,Pay later civil rise program imagine mean rest capital note year ever build before wind talk.,Bullish,Technology,Europe,Enterprise,Trade Transaction,Trade Data
REC100165,TRDR1190,2024-12-15,Stock,STO678,Hold,257.45,214.2,20.19,56,92,However win think range black magazine include life ready win born forward how election phone share focus.,Bullish,Telecom,South America,Enterprise,Trade Transaction,Trade Data
REC100166,TRDR3168,2025-10-02,FX,FX347,Buy,768.69,797.31,-3.59,73,351,Kitchen office room little maintain successful throw coach manager high really.,Bearish,Finance,South America,Enterprise,Trade Transaction,Trade Data
REC100167,TRDR2111,2024-11-19,Bond,BON383,Hold,782.04,624.63,25.2,70,192,Culture wish short hand.,Neutral,Technology,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100168,TRDR9769,2025-09-09,Commodity,COM880,Buy,1971.0,1834.0,7.47,58,327,Act type build establish fact between federal medical beyond event democratic.,Bearish,Telecom,Middle East,Enterprise,Trade Transaction,Trade Data
REC100169,TRDR4205,2025-01-19,Futures,FUT385,Watch,678.12,517.73,30.98,93,182,Summer might budget include authority into crime truth after customer door.,Bullish,Finance,Europe,Enterprise,Trade Transaction,Trade Data
REC100170,TRDR3403,2025-09-07,Commodity,COM226,Hold,1641.07,1277.1,28.5,73,83,Nearly past race base expert open stage require day win can.,Bearish,Technology,Europe,Enterprise,Trade Transaction,Trade Data
REC100171,TRDR2400,2024-11-16,ETF,ETF726,Hold,562.95,542.86,3.7,59,134,Interest attack especially fire a hear this agreement probably two fine one.,Bearish,Finance,Middle East,Enterprise,Trade Transaction,Trade Data
REC100172,TRDR3022,2025-08-13,Options,OPT439,Watch,1847.62,1970.58,-6.24,57,91,Great red pay low government travel hit research skin major be run more establish bar force save.,Neutral,Consumer Goods,Middle East,Enterprise,Trade Transaction,Trade Data
REC100173,TRDR8993,2025-01-19,ETF,ETF391,Hold,1600.64,1182.16,35.4,61,262,Statement difference white fine finish before image.,Neutral,Finance,South America,Enterprise,Trade Transaction,Trade Data
REC100174,TRDR6835,2025-08-20,Commodity,COM894,Watch,957.08,937.58,2.08,88,250,Animal great administration appear senior media produce market government direction strong mother a pay leader hour without sell general ahead call successful.,Neutral,Industrials,Middle East,Enterprise,Trade Transaction,Trade Data
REC100175,TRDR9140,2025-04-08,Derivative,DER869,Watch,150.05,159.36,-5.84,95,147,Direction a visit way morning short great range staff wrong rate tonight score.,Neutral,Energy,Europe,Enterprise,Trade Transaction,Trade Data
REC100176,TRDR9797,2024-10-21,Derivative,DER747,Sell,1457.16,1518.03,-4.01,70,122,Tend apply example have likely action public newspaper design class writer matter leg fish actually society.,Bullish,Healthcare,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100177,TRDR2673,2025-06-10,Futures,FUT748,Hold,925.45,701.84,31.86,92,251,Apply dark cold table doctor million.,Bullish,Energy,Middle East,Enterprise,Trade Transaction,Trade Data
REC100178,TRDR1178,2024-10-22,Bond,BON786,Sell,2339.59,1817.86,28.7,98,165,Actually treat industry form wish us get.,Neutral,Energy,Middle East,Enterprise,Trade Transaction,Trade Data
REC100179,TRDR9908,2025-04-13,ETF,ETF223,Buy,276.7,226.95,21.92,88,48,Four force people many either significant couple party.,Neutral,Finance,North America,Enterprise,Trade Transaction,Trade Data
REC100180,TRDR7797,2025-02-03,Commodity,COM716,Buy,1273.81,1017.18,25.23,76,129,Radio food magazine cause close small especially discussion young visit common.,Bullish,Finance,North America,Enterprise,Trade Transaction,Trade Data
REC100181,TRDR4972,2025-08-08,Commodity,COM515,Sell,209.6,209.18,0.2,72,233,Environment college yourself economy fight service glass son coach garden.,Neutral,Healthcare,North America,Enterprise,Trade Transaction,Trade Data
REC100182,TRDR8859,2025-09-30,FX,FX752,Buy,881.54,857.95,2.75,83,255,Whom loss picture maybe building benefit analysis growth foot record method quality test letter section floor tree industry bad.,Bullish,Finance,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100183,TRDR9639,2024-11-20,ETF,ETF503,Watch,2432.34,1876.37,29.63,97,310,Especially ball write job public idea road they focus stage type stand arm.,Bearish,Industrials,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100184,TRDR1941,2025-05-31,Derivative,DER128,Hold,1067.21,1003.02,6.4,84,163,Lose for that rather example kid study bill smile whom choice exactly someone live while.,Bullish,Energy,North America,Enterprise,Trade Transaction,Trade Data
REC100185,TRDR5240,2025-08-27,Futures,FUT872,Watch,675.19,668.44,1.01,60,270,Hundred stand professional dark drive me hair fish run story difference trouble develop chair budget great.,Bullish,Consumer Goods,Middle East,Enterprise,Trade Transaction,Trade Data
REC100186,TRDR5328,2024-11-21,Bond,BON355,Sell,526.25,427.36,23.14,51,199,Task girl be science need fear.,Bullish,Healthcare,Middle East,Enterprise,Trade Transaction,Trade Data
REC100187,TRDR2232,2025-06-12,Derivative,DER216,Sell,1882.81,1870.65,0.65,77,227,More country piece national about dark store the work political rise industry staff.,Bullish,Technology,Middle East,Enterprise,Trade Transaction,Trade Data
REC100188,TRDR8830,2025-09-26,Derivative,DER138,Sell,1266.44,1042.08,21.53,75,36,Director little than energy skin every day thing option word issue husband.,Neutral,Healthcare,North America,Enterprise,Trade Transaction,Trade Data
REC100189,TRDR5139,2025-05-25,Derivative,DER341,Hold,1328.64,1183.22,12.29,87,343,Home clear itself president vote form loss fly bad parent home.,Neutral,Healthcare,North America,Enterprise,Trade Transaction,Trade Data
REC100190,TRDR9197,2025-07-02,Derivative,DER204,Hold,1716.06,1466.72,17.0,64,137,Class treat crime class senior agree whether.,Bullish,Finance,Middle East,Enterprise,Trade Transaction,Trade Data
REC100191,TRDR3655,2025-05-11,Stock,STO813,Buy,946.61,758.93,24.73,87,225,Be suffer truth exactly follow really or represent break goal get throughout people room television political role cold no.,Bullish,Telecom,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100192,TRDR3505,2025-04-05,Commodity,COM736,Sell,163.69,124.19,31.81,54,209,Officer difference above turn last successful society family me recent range three.,Neutral,Telecom,South America,Enterprise,Trade Transaction,Trade Data
REC100193,TRDR6220,2025-03-05,FX,FX982,Sell,425.03,344.74,23.29,77,9,Finally real body head maintain throughout job not.,Neutral,Technology,North America,Enterprise,Trade Transaction,Trade Data
REC100194,TRDR8175,2025-07-30,Stock,STO659,Watch,1310.1,1215.64,7.77,61,341,Leg suffer whom heavy focus.,Bearish,Technology,Europe,Enterprise,Trade Transaction,Trade Data
REC100195,TRDR7792,2025-05-03,ETF,ETF961,Watch,219.3,205.47,6.73,50,36,Local vote discussion fear very source yes produce.,Bearish,Industrials,South America,Enterprise,Trade Transaction,Trade Data
REC100196,TRDR4311,2025-09-23,Commodity,COM349,Hold,1731.84,1822.99,-5.0,68,297,Particularly once will result should physical old realize simple here gun positive yard catch movie cover performance.,Neutral,Finance,Middle East,Enterprise,Trade Transaction,Trade Data
REC100197,TRDR5639,2025-04-17,ETF,ETF236,Sell,383.91,310.23,23.75,80,186,Option home office well admit pay.,Neutral,Energy,South America,Enterprise,Trade Transaction,Trade Data
REC100198,TRDR9879,2025-04-04,FX,FX276,Buy,1325.97,1338.01,-0.9,93,228,Skin total concern clearly away improve news evidence traditional deep edge ahead.,Neutral,Consumer Goods,Europe,Enterprise,Trade Transaction,Trade Data
REC100199,TRDR2350,2025-02-17,Futures,FUT710,Buy,327.7,380.87,-13.96,90,43,Environment message race I according after.,Neutral,Technology,Middle East,Enterprise,Trade Transaction,Trade Data
REC100200,TRDR3330,2024-12-02,Options,OPT663,Watch,1536.41,1606.79,-4.38,92,331,Free best laugh break wrong think mention staff others positive live.,Bearish,Technology,Middle East,Enterprise,Trade Transaction,Trade Data
REC100201,TRDR8002,2024-11-16,FX,FX944,Buy,1189.39,1303.01,-8.72,84,200,Indeed fact modern lot radio party help finish.,Bullish,Healthcare,Middle East,Enterprise,Trade Transaction,Trade Data
REC100202,TRDR4342,2025-05-01,Bond,BON911,Watch,1253.51,896.13,39.88,95,232,Group type candidate leg western sit away win it agency lawyer service ten pull ever.,Neutral,Energy,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100203,TRDR3392,2025-08-28,Bond,BON289,Sell,1911.01,1573.11,21.48,80,361,More law win kid measure office how ok second.,Bullish,Energy,South America,Enterprise,Trade Transaction,Trade Data
REC100204,TRDR6821,2025-06-11,FX,FX146,Watch,1998.83,1900.75,5.16,78,308,Brother not high hair stay break material determine summer bad want church church wife operation century girl husband space.,Neutral,Industrials,North America,Enterprise,Trade Transaction,Trade Data
REC100205,TRDR2978,2024-12-03,Options,OPT449,Sell,1769.86,1930.69,-8.33,81,321,Industry treat past director open trial teach eat to check lose follow.,Bullish,Energy,South America,Enterprise,Trade Transaction,Trade Data
REC100206,TRDR6343,2025-04-04,Futures,FUT510,Sell,1268.56,1104.15,14.89,96,53,Probably lot indeed region let yet important continue become author key pass piece.,Bearish,Finance,South America,Enterprise,Trade Transaction,Trade Data
REC100207,TRDR7273,2025-07-28,Futures,FUT588,Buy,2064.34,1596.92,29.27,67,182,Or wrong mouth share simply husband writer her parent travel food investment any owner church town.,Bullish,Telecom,Europe,Enterprise,Trade Transaction,Trade Data
REC100208,TRDR1226,2025-08-20,Derivative,DER876,Hold,1441.22,1032.69,39.56,51,277,Industry most Mrs box perform rest special still include bad prevent inside today away look ability stuff Congress development.,Bearish,Consumer Goods,South America,Enterprise,Trade Transaction,Trade Data
REC100209,TRDR3261,2025-09-11,Futures,FUT288,Watch,993.86,943.48,5.34,59,212,Ball perform ever their add against off season become in.,Bearish,Telecom,Middle East,Enterprise,Trade Transaction,Trade Data
REC100210,TRDR5082,2025-01-11,FX,FX790,Sell,1035.67,744.55,39.1,96,320,Goal tree entire forward certain nature defense here market write political car follow you center view majority onto as read to.,Bullish,Healthcare,North America,Enterprise,Trade Transaction,Trade Data
REC100211,TRDR3823,2025-03-07,Commodity,COM810,Buy,1108.44,872.72,27.01,96,156,Seven stay thus seek direction likely.,Bearish,Technology,South America,Enterprise,Trade Transaction,Trade Data
REC100212,TRDR8214,2025-01-10,Derivative,DER142,Sell,1369.13,1406.83,-2.68,100,111,Nature value space recently kid north social area value customer.,Bearish,Finance,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100213,TRDR1006,2025-02-14,Commodity,COM278,Sell,912.33,946.99,-3.66,94,309,Move sound situation hit media manage current across on candidate apply risk.,Bullish,Technology,North America,Enterprise,Trade Transaction,Trade Data
REC100214,TRDR9558,2025-07-18,Commodity,COM791,Watch,1939.43,1922.7,0.87,98,209,Song million imagine beyond bring never among past.,Bearish,Consumer Goods,North America,Enterprise,Trade Transaction,Trade Data
REC100215,TRDR1474,2025-03-13,FX,FX623,Buy,765.47,742.09,3.15,77,124,Professor less other detail instead nearly just poor campaign focus whose owner artist test dark address American.,Neutral,Finance,South America,Enterprise,Trade Transaction,Trade Data
REC100216,TRDR4833,2025-06-22,FX,FX397,Hold,945.46,995.12,-4.99,62,355,Gas according hour today treatment air hundred action policy reveal various certainly both once arm four common story remember until loss class.,Bullish,Healthcare,Middle East,Enterprise,Trade Transaction,Trade Data
REC100217,TRDR6338,2024-11-03,Futures,FUT904,Buy,1651.05,1310.46,25.99,94,193,Audience prove some fall green whom agency interesting.,Neutral,Healthcare,North America,Enterprise,Trade Transaction,Trade Data
REC100218,TRDR1213,2024-11-04,Derivative,DER981,Hold,2223.35,1851.71,20.07,95,307,Begin build ask change age.,Bearish,Consumer Goods,Europe,Enterprise,Trade Transaction,Trade Data
REC100219,TRDR2453,2025-08-13,Options,OPT496,Watch,238.16,206.18,15.51,97,264,Career stage leader best current this office within key player difficult mean fear perform.,Bearish,Telecom,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100220,TRDR3020,2025-08-16,FX,FX227,Sell,2141.81,1762.66,21.51,56,307,Perhaps yet shake cover brother medical sea amount rule know reduce where thought suffer fall.,Bearish,Finance,North America,Enterprise,Trade Transaction,Trade Data
REC100221,TRDR4645,2025-06-30,Derivative,DER972,Hold,1928.02,1662.23,15.99,67,47,Study usually check baby ago morning simply against care blood join follow if day.,Bearish,Consumer Goods,Middle East,Enterprise,Trade Transaction,Trade Data
REC100222,TRDR4144,2025-04-26,Futures,FUT378,Watch,864.07,720.42,19.94,82,55,Push understand campaign well maybe political real Mr real state member serious meeting fall someone.,Bearish,Technology,South America,Enterprise,Trade Transaction,Trade Data
REC100223,TRDR8954,2025-08-03,Stock,STO557,Buy,684.72,568.66,20.41,61,53,Party deep raise itself however meeting staff base.,Bearish,Technology,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100224,TRDR1221,2025-06-26,Derivative,DER118,Watch,1605.63,1154.13,39.12,52,130,How situation win sport discuss try last especially throughout write machine.,Bearish,Energy,Middle East,Enterprise,Trade Transaction,Trade Data
REC100225,TRDR5789,2025-10-07,Derivative,DER882,Hold,390.14,300.94,29.64,91,129,Ten over baby he however sort individual.,Bearish,Industrials,South America,Enterprise,Trade Transaction,Trade Data
REC100226,TRDR9771,2025-09-25,Derivative,DER181,Watch,2659.28,1998.41,33.07,86,153,Follow above thus mean president well score exist commercial center.,Bearish,Healthcare,Middle East,Enterprise,Trade Transaction,Trade Data
REC100227,TRDR7490,2025-01-06,Derivative,DER385,Sell,1661.66,1783.66,-6.84,90,211,Power institution decision consider bar power population scene instead population growth water decision management audience modern.,Bullish,Telecom,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100228,TRDR2205,2025-01-17,Commodity,COM150,Hold,1364.81,1587.73,-14.04,66,116,Degree color speak partner consider deal detail professor audience parent through.,Bearish,Energy,North America,Enterprise,Trade Transaction,Trade Data
REC100229,TRDR6539,2025-08-01,Bond,BON764,Buy,430.51,329.29,30.74,92,155,Across sort claim already former our approach city to phone she may her attention expert trip worry window suggest.,Neutral,Healthcare,South America,Enterprise,Trade Transaction,Trade Data
REC100230,TRDR6021,2025-03-27,Futures,FUT536,Watch,2054.36,1651.68,24.38,72,168,Or describe enjoy summer woman who last team officer method system gun.,Bullish,Technology,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100231,TRDR8705,2025-03-04,Options,OPT540,Buy,1403.3,1259.24,11.44,67,317,Hit board start civil also other benefit base whether market marriage speech for must similar fact style large method might option religious.,Bearish,Telecom,South America,Enterprise,Trade Transaction,Trade Data
REC100232,TRDR8311,2025-01-26,Bond,BON746,Watch,538.51,532.91,1.05,57,175,Sit enter recognize off institution until place ten hand glass of dark safe claim thousand hear end indeed sure.,Bearish,Consumer Goods,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100233,TRDR6312,2025-08-16,Bond,BON567,Watch,1349.45,1391.9,-3.05,65,282,Phone magazine arrive again prepare reach water dinner order.,Neutral,Healthcare,North America,Enterprise,Trade Transaction,Trade Data
REC100234,TRDR1345,2025-09-24,Stock,STO887,Watch,1538.46,1264.14,21.7,53,192,Generation if work report product find power matter allow century remain return carry how.,Neutral,Technology,Middle East,Enterprise,Trade Transaction,Trade Data
REC100235,TRDR3219,2024-12-30,Derivative,DER304,Sell,2376.06,1717.43,38.35,93,239,Anything group final time lay prevent maintain government policy.,Bearish,Consumer Goods,Europe,Enterprise,Trade Transaction,Trade Data
REC100236,TRDR8672,2025-07-01,ETF,ETF265,Watch,1302.1,1264.91,2.94,53,76,Majority leader easy operation consider camera become movement option.,Bullish,Technology,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100237,TRDR8757,2024-10-27,Commodity,COM368,Hold,1931.96,1511.23,27.84,96,311,Likely rule service total reality woman.,Bullish,Technology,North America,Enterprise,Trade Transaction,Trade Data
REC100238,TRDR5766,2024-11-02,Futures,FUT146,Buy,604.54,702.55,-13.95,78,157,Across space after wish change any cultural very push different open hand both game free investment vote old identify.,Bullish,Consumer Goods,South America,Enterprise,Trade Transaction,Trade Data
REC100239,TRDR8222,2025-01-28,Commodity,COM160,Hold,916.93,706.58,29.77,90,161,Executive pull his campaign central child after animal white another.,Bullish,Technology,Middle East,Enterprise,Trade Transaction,Trade Data
REC100240,TRDR7896,2025-06-18,FX,FX984,Sell,1555.0,1216.08,27.87,91,140,Force wife say address drop walk.,Bullish,Finance,Europe,Enterprise,Trade Transaction,Trade Data
REC100241,TRDR1863,2024-10-22,Stock,STO747,Buy,337.77,368.82,-8.42,54,319,Life probably friend measure nor page difference soon.,Bullish,Finance,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100242,TRDR3362,2025-01-29,FX,FX533,Buy,1604.8,1369.87,17.15,100,195,Doctor character I especially industry mind a entire challenge.,Bearish,Industrials,Europe,Enterprise,Trade Transaction,Trade Data
REC100243,TRDR8336,2025-02-17,ETF,ETF308,Buy,82.25,80.11,2.67,76,278,Data practice civil health job form throw by herself hold political plan she form left table five.,Bullish,Energy,North America,Enterprise,Trade Transaction,Trade Data
REC100244,TRDR2827,2025-05-01,Futures,FUT414,Sell,738.02,612.67,20.46,91,140,Box station up window painting quickly station meet character little point family.,Bullish,Energy,Middle East,Enterprise,Trade Transaction,Trade Data
REC100245,TRDR2060,2025-08-24,Futures,FUT876,Watch,2667.28,1994.53,33.73,54,234,Building high student simple study respond life necessary shake.,Bearish,Consumer Goods,Europe,Enterprise,Trade Transaction,Trade Data
REC100246,TRDR6219,2024-10-18,Stock,STO135,Watch,191.13,211.9,-9.8,75,296,Authority view again Mrs difficult off scientist eight only stock choose wish mouth ball.,Neutral,Technology,South America,Enterprise,Trade Transaction,Trade Data
REC100247,TRDR1466,2025-07-27,Bond,BON127,Watch,951.84,1012.16,-5.96,96,217,Political kitchen reduce arrive allow out result we past.,Neutral,Energy,South America,Enterprise,Trade Transaction,Trade Data
REC100248,TRDR5892,2025-01-12,FX,FX629,Watch,1877.62,1611.55,16.51,89,290,Worry your success notice whole instead someone stuff out before me benefit day act her law.,Bullish,Technology,North America,Enterprise,Trade Transaction,Trade Data
REC100249,TRDR6760,2025-07-12,ETF,ETF154,Buy,1714.46,1599.16,7.21,70,207,Visit since with hair beyond point dark after.,Neutral,Healthcare,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100250,TRDR6907,2024-12-18,FX,FX677,Watch,1926.25,1382.41,39.34,95,173,Player democratic agreement change sound director exist look.,Neutral,Consumer Goods,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100251,TRDR9920,2024-11-04,Derivative,DER789,Sell,1286.61,1032.43,24.62,81,147,Second never affect always suffer available evidence north study lot lawyer seat pick trouble campaign.,Bullish,Finance,North America,Enterprise,Trade Transaction,Trade Data
REC100252,TRDR6619,2024-11-14,Commodity,COM448,Hold,1949.88,1422.75,37.05,73,177,View memory decision become floor war year surface tough tend quality sing.,Neutral,Finance,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100253,TRDR2549,2025-06-27,Commodity,COM450,Sell,1072.45,882.24,21.56,69,279,Oil TV weight more seven keep student process city draw relate source.,Bullish,Finance,South America,Enterprise,Trade Transaction,Trade Data
REC100254,TRDR8275,2025-05-23,Futures,FUT324,Buy,1840.35,1486.31,23.82,74,195,Today develop wide try decision him figure capital article exactly.,Bullish,Consumer Goods,North America,Enterprise,Trade Transaction,Trade Data
REC100255,TRDR6726,2025-08-24,Derivative,DER392,Hold,926.45,866.98,6.86,83,131,Positive large blue administration source two.,Bullish,Industrials,North America,Enterprise,Trade Transaction,Trade Data
REC100256,TRDR5797,2025-06-20,Bond,BON463,Sell,985.09,772.74,27.48,90,88,Everyone memory Mr worker return structure strong break federal similar serious over or character language much wall contain hot the fire.,Neutral,Energy,Europe,Enterprise,Trade Transaction,Trade Data
REC100257,TRDR2211,2025-09-24,Commodity,COM840,Watch,644.66,587.28,9.77,58,100,Strong group far surface course small film mention phone civil.,Bullish,Telecom,Middle East,Enterprise,Trade Transaction,Trade Data
REC100258,TRDR8783,2024-11-05,Options,OPT508,Watch,1457.11,1196.12,21.82,64,169,These whether eat stay whole prepare position white throw night score project safe everyone see.,Neutral,Energy,Middle East,Enterprise,Trade Transaction,Trade Data
REC100259,TRDR5775,2024-11-18,Options,OPT159,Hold,2611.27,1931.27,35.21,79,311,State figure similar mission hard hundred surface.,Bullish,Energy,South America,Enterprise,Trade Transaction,Trade Data
REC100260,TRDR5044,2025-04-18,ETF,ETF586,Watch,1683.84,1794.95,-6.19,79,164,Check very decide any world still land agreement home himself push several present scientist stage himself rise least big her member.,Bullish,Technology,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
