Customer_ID,Customer_Name,Credit_Exposure,Risk_Weight,Risk_Weighted_Assets,Risk_Category
CUST00479,Customer_479,344518.17,0.85,292840.44,High
CUST00480,Customer_480,125471.29,0.36,45169.66,Low
CUST00481,Customer_481,217712.85,0.73,158930.38,Medium
CUST00482,Customer_482,789961.62,0.35,276486.57,Medium
CUST00483,Customer_483,256330.01,0.59,151234.71,High
CUST00484,Customer_484,344111.12,0.26,89468.89,Low
CUST00485,Customer_485,379064.46,0.47,178160.3,High
CUST00486,Customer_486,758391.21,0.48,364027.78,Low
CUST00487,Customer_487,25885.27,0.62,16048.87,Medium
CUST00488,Customer_488,357808.61,0.57,203950.91,Low
CUST00489,Customer_489,841771.23,0.92,774429.53,Medium
CUST00490,Customer_490,742384.67,0.47,348920.79,High
CUST00491,Customer_491,489710.99,0.22,107736.42,Low
CUST00492,Customer_492,578195.15,0.63,364262.94,High
CUST00493,Customer_493,862209.47,0.3,258662.84,Medium
CUST00494,Customer_494,390604.29,0.74,289047.17,Low
CUST00495,Customer_495,664279.63,0.69,458352.94,High
CUST00496,Customer_496,150518.85,0.25,37629.71,Medium
CUST00497,Customer_497,386359.2,0.53,204770.38,Medium
CUST00498,Customer_498,730690.54,0.64,467641.95,Low
CUST00499,Customer_499,174475.89,0.25,43618.97,High
CUST00500,Customer_500,128890.78,0.24,30933.79,Low
