Domain,Business_Activity,Sub_Domain,Activity_Description,Value_Type,Data_Domain,Data_Value,Loan_ID,Borrower_Name,Loan_Type,Outstanding_Amount,Risk_Level,Default_Probability,Status
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00131,Borrower_131,Home Loan,1499756.39,High,0.22,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00132,Borrower_132,Personal Loan,2257695.64,Very High,0.04,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00133,Borrower_133,Business Loan,1168524.39,Medium,0.08,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00134,Borrower_134,Business Loan,3509304.03,High,0.23,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00135,Borrower_135,Auto Loan,4599442.55,Low,0.13,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00136,Borrower_136,Personal Loan,1820814.49,High,0.25,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00137,Borrower_137,Education Loan,2774691.86,Medium,0.07,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00138,Borrower_138,Home Loan,4114940.02,Medium,0.13,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00139,Borrower_139,Auto Loan,4326273.58,Very High,0.14,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00140,Borrower_140,Auto Loan,3937874.47,Medium,0.37,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00141,Borrower_141,Business Loan,2338203.69,Very High,0.29,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00142,Borrower_142,Business Loan,3075739.61,High,0.18,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00143,Borrower_143,Auto Loan,633489.65,Low,0.42,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00144,Borrower_144,Personal Loan,2226983.47,Low,0.41,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00145,Borrower_145,Education Loan,4396173.74,High,0.18,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00146,Borrower_146,Education Loan,594677.5,Very High,0.22,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00147,Borrower_147,Personal Loan,2605868.41,High,0.37,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00148,Borrower_148,Education Loan,112293.93,Low,0.13,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00149,Borrower_149,Home Loan,501632.28,Low,0.47,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00150,Borrower_150,Personal Loan,3171351.81,Very High,0.5,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00151,Borrower_151,Home Loan,4903908.86,Low,0.39,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00152,Borrower_152,Personal Loan,2121098.9,Low,0.38,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00153,Borrower_153,Business Loan,1081783.88,Very High,0.38,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00154,Borrower_154,Auto Loan,2071815.26,High,0.21,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00155,Borrower_155,Business Loan,3066987.08,Low,0.03,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00156,Borrower_156,Business Loan,2943009.16,Medium,0.22,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00157,Borrower_157,Personal Loan,3927198.88,Very High,0.42,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00158,Borrower_158,Home Loan,310709.2,Low,0.13,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00159,Borrower_159,Personal Loan,2420843.64,High,0.46,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00160,Borrower_160,Education Loan,2482210.98,Very High,0.11,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00161,Borrower_161,Personal Loan,3151887.06,Low,0.25,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00162,Borrower_162,Personal Loan,1431092.88,Very High,0.24,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00163,Borrower_163,Home Loan,338185.62,Low,0.42,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00164,Borrower_164,Education Loan,4238388.94,Low,0.44,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00165,Borrower_165,Home Loan,321987.1,Medium,0.2,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00166,Borrower_166,Auto Loan,3948358.42,Low,0.23,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00167,Borrower_167,Auto Loan,3236524.64,Very High,0.25,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00168,Borrower_168,Auto Loan,3247896.17,High,0.35,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00169,Borrower_169,Home Loan,3104700.4,Low,0.22,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00170,Borrower_170,Personal Loan,2349365.98,High,0.33,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00171,Borrower_171,Education Loan,1744344.95,High,0.37,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00172,Borrower_172,Auto Loan,2009914.4,Medium,0.28,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00173,Borrower_173,Home Loan,2571802.23,Medium,0.45,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00174,Borrower_174,Education Loan,3923050.96,Medium,0.34,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00175,Borrower_175,Business Loan,4129698.7,High,0.12,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00176,Borrower_176,Home Loan,4119438.67,Low,0.29,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00177,Borrower_177,Personal Loan,953692.52,High,0.16,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00178,Borrower_178,Education Loan,923203.09,Low,0.44,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00179,Borrower_179,Home Loan,4110170.18,Low,0.16,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00180,Borrower_180,Auto Loan,1416179.73,High,0.35,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00181,Borrower_181,Education Loan,2098306.9,Medium,0.25,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00182,Borrower_182,Education Loan,2135069.57,Low,0.05,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00183,Borrower_183,Business Loan,4266909.66,Medium,0.25,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00184,Borrower_184,Education Loan,3304864.15,Low,0.35,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00185,Borrower_185,Home Loan,2448110.26,Very High,0.44,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00186,Borrower_186,Auto Loan,2740715.24,Low,0.42,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00187,Borrower_187,Education Loan,1685017.06,Very High,0.24,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00188,Borrower_188,Business Loan,3056740.01,High,0.01,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00189,Borrower_189,Personal Loan,4875316.57,Low,0.45,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00190,Borrower_190,Auto Loan,3746159.24,Medium,0.3,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00191,Borrower_191,Personal Loan,960025.27,Low,0.39,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00192,Borrower_192,Home Loan,2624370.08,High,0.46,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00193,Borrower_193,Business Loan,2384731.06,Low,0.3,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00194,Borrower_194,Business Loan,1881297.93,Very High,0.39,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00195,Borrower_195,Home Loan,2889591.83,Very High,0.38,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00196,Borrower_196,Personal Loan,607480.53,Low,0.41,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00197,Borrower_197,Personal Loan,634427.96,Very High,0.34,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00198,Borrower_198,Personal Loan,4910292.39,Medium,0.09,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00199,Borrower_199,Education Loan,2141468.48,Very High,0.29,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00200,Borrower_200,Personal Loan,4089124.2,Low,0.05,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00201,Borrower_201,Auto Loan,2520317.31,Low,0.18,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00202,Borrower_202,Home Loan,3153312.83,Medium,0.42,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00203,Borrower_203,Business Loan,1216659.0,Low,0.44,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00204,Borrower_204,Personal Loan,1252853.09,High,0.23,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00205,Borrower_205,Business Loan,1204868.89,Medium,0.45,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00206,Borrower_206,Personal Loan,4722252.17,Very High,0.19,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00207,Borrower_207,Auto Loan,4781957.95,Low,0.24,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00208,Borrower_208,Education Loan,4850842.45,High,0.46,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00209,Borrower_209,Business Loan,1760931.77,High,0.43,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00210,Borrower_210,Personal Loan,4309495.12,Very High,0.37,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00211,Borrower_211,Auto Loan,119494.37,High,0.5,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00212,Borrower_212,Auto Loan,1958479.55,High,0.25,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00213,Borrower_213,Home Loan,463025.86,Medium,0.07,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00214,Borrower_214,Education Loan,3291513.17,Very High,0.37,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00215,Borrower_215,Business Loan,4592364.8,Very High,0.28,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00216,Borrower_216,Education Loan,1998631.18,Very High,0.11,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00217,Borrower_217,Personal Loan,2896284.28,Very High,0.05,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00218,Borrower_218,Business Loan,3136613.8,High,0.23,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00219,Borrower_219,Education Loan,964467.61,Low,0.48,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00220,Borrower_220,Business Loan,425039.06,High,0.2,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00221,Borrower_221,Personal Loan,2253525.91,Low,0.18,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00222,Borrower_222,Business Loan,293886.72,High,0.33,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00223,Borrower_223,Auto Loan,4355072.84,Medium,0.12,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00224,Borrower_224,Education Loan,2899047.66,Very High,0.1,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00225,Borrower_225,Personal Loan,4850767.33,High,0.08,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00226,Borrower_226,Business Loan,2758265.07,Very High,0.12,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00227,Borrower_227,Education Loan,4767649.01,High,0.2,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00228,Borrower_228,Personal Loan,4437215.41,Low,0.4,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00229,Borrower_229,Home Loan,4908962.92,Low,0.32,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00230,Borrower_230,Personal Loan,3111165.88,Medium,0.27,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00231,Borrower_231,Auto Loan,438815.88,High,0.18,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00232,Borrower_232,Business Loan,4308580.16,Medium,0.07,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00233,Borrower_233,Auto Loan,3984319.53,Medium,0.48,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00234,Borrower_234,Education Loan,4611921.43,Low,0.08,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00235,Borrower_235,Business Loan,2592857.41,Medium,0.06,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00236,Borrower_236,Home Loan,3068396.75,Low,0.34,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00237,Borrower_237,Home Loan,2592289.75,High,0.39,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00238,Borrower_238,Business Loan,4175673.05,Low,0.37,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00239,Borrower_239,Home Loan,660245.95,Medium,0.39,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00240,Borrower_240,Education Loan,3745713.52,Very High,0.12,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00241,Borrower_241,Auto Loan,4372226.87,Very High,0.11,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00242,Borrower_242,Education Loan,1009520.86,Medium,0.16,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00243,Borrower_243,Education Loan,457438.44,Low,0.24,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00244,Borrower_244,Business Loan,211488.57,Very High,0.44,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00245,Borrower_245,Business Loan,4506740.13,Low,0.44,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00246,Borrower_246,Auto Loan,3021266.08,High,0.27,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00247,Borrower_247,Auto Loan,2386447.62,Very High,0.17,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00248,Borrower_248,Personal Loan,2764964.03,High,0.01,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00249,Borrower_249,Personal Loan,4608879.86,High,0.21,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00250,Borrower_250,Personal Loan,3056409.88,Very High,0.31,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00251,Borrower_251,Business Loan,2321993.8,High,0.03,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00252,Borrower_252,Home Loan,4576227.96,Very High,0.43,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00253,Borrower_253,Home Loan,4729612.7,Very High,0.44,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00254,Borrower_254,Education Loan,2316771.15,Very High,0.24,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00255,Borrower_255,Home Loan,3542907.99,High,0.13,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00256,Borrower_256,Personal Loan,990206.57,Medium,0.03,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00257,Borrower_257,Personal Loan,2337957.33,Medium,0.42,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00258,Borrower_258,Auto Loan,2203355.83,High,0.15,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00259,Borrower_259,Education Loan,2568934.09,Low,0.16,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00260,Borrower_260,Personal Loan,2873193.49,High,0.24,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00261,Borrower_261,Business Loan,604482.76,Low,0.43,Delinquent
