Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Transaction ID,Customer ID,Transaction Amount,Transaction Type,Account Type,Region,AML Risk Score,Status,Screened By,Transaction Date
Redefine Proactive Mindshare,Advanced needs-based pricing structure,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,13376694-a995-433b-9617-d083bec0ce22,3209,20022.88,Wire Transfer,Corporate,EMEA,63.16,Reviewed,Gina Matthews,2025-06-22
Orchestrate Dot-Com E-Services,Profound 4thgeneration throughput,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,665bd1f2-273f-4bf6-b11a-f905343598ab,5343,5903.0,ATM,Current,Americas,94.96,Reviewed,Lisa Kelly,2025-09-27
Monetize Frictionless Infrastructures,Decentralized neutral monitoring,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,51fc023d-3319-4834-b324-68db3ea79dcc,3550,66595.28,Online,Corporate,EMEA,58.97,Reviewed,Kathryn Myers,2025-06-28
Synergize One-To-One Methodologies,Networked impactful focus group,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,0e470514-e595-46c6-a9d0-ab67b53e5680,4707,9298.0,ATM,Corporate,EMEA,56.66,Reviewed,Jeremy King,2025-06-29
Disintermediate Value-Added E-Business,Optimized demand-driven analyzer,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,a2e0f140-720b-4f31-b72d-7d56200f72a7,9156,83709.09,ATM,Corporate,APAC,88.63,Cleared,Maria Mcgrath,2025-02-08
Maximize Intuitive E-Markets,Streamlined scalable orchestration,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,300905fe-8c61-4f59-8298-d8d35ea08176,9310,80261.85,POS,Current,APAC,35.6,Pending Investigation,Mike Spencer,2025-03-13
E-Enable Mission-Critical Platforms,Inverse grid-enabled matrices,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,80e5bae8-32b9-4ea4-bdc0-7ed3c9afdb61,9770,28195.75,POS,Corporate,EMEA,52.96,Pending Investigation,Tracy Good,2025-04-25
Maximize Out-Of-The-Box Channels,Synergistic multi-tasking concept,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,1da25b37-50ab-4580-9f90-2b347064b02d,8149,72634.99,POS,Corporate,EMEA,31.02,Pending Investigation,Nicole Hudson,2025-01-06
Grow Mission-Critical Partnerships,Multi-channeled eco-centric budgetary management,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,a6f11c50-9c37-4c49-8ac3-c81d1b8ffdcd,8615,99170.56,ATM,Savings,EMEA,88.49,Flagged,Brenda Chavez,2025-04-20
Synergize Back-End Schemas,Enhanced tertiary structure,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,31ff1e4b-6a59-4f8f-a0fb-9feb65652f50,1003,21970.99,Online,Current,EMEA,46.11,Cleared,Kimberly Hale,2025-04-18
Enhance Best-Of-Breed Infrastructures,Managed discrete benchmark,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,2b0e6fa4-9a3b-4d15-b52a-c72451d59ebe,8364,5205.55,Wire Transfer,Savings,EMEA,29.56,Cleared,Robin Nguyen,2025-06-19
Reinvent Mission-Critical Initiatives,Distributed incremental challenge,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,00f0e5a0-e064-42ba-bf61-1d148889066c,9478,82594.8,Wire Transfer,Current,APAC,19.01,Reviewed,Gina Bell,2025-05-16
Synthesize Frictionless Technologies,Reverse-engineered impactful attitude,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,16a5fffc-c329-4929-bb8d-7648e14ff941,9136,36455.79,ATM,Corporate,Americas,35.31,Cleared,Anthony Weaver,2025-09-29
Matrix Web-Enabled Initiatives,Integrated solution-oriented knowledge user,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,0f162a12-0a6e-45a3-9d0d-f2cb44720999,5479,65798.89,POS,Savings,APAC,21.89,Flagged,Patricia Henderson,2025-01-23
Scale Cutting-Edge Systems,Progressive object-oriented circuit,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,7a4f849e-da54-4643-958c-7cf9c3afee03,6538,89412.71,Wire Transfer,Corporate,Americas,7.08,Cleared,Amy Bowman,2025-10-03
Facilitate Cross-Platform Schemas,Front-line directional leverage,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,f87431f6-c457-4b4e-9739-88c87ebdd1bc,6299,5378.88,ATM,Corporate,Americas,92.04,Flagged,Ashley Contreras,2025-05-02
Transform Granular E-Markets,Vision-oriented high-level matrix,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,160c9907-c357-44d1-ad61-b6d3ee31cd60,5714,47067.07,Online,Current,EMEA,57.84,Flagged,Tara Gonzales,2025-05-30
Synthesize Web-Enabled E-Business,Reduced dynamic ability,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,0340fc7c-fa1e-45a4-8de5-aa6fef6b185b,3152,13426.32,Online,Corporate,APAC,42.13,Pending Investigation,Wayne Good,2025-04-21
Engineer Impactful Markets,Exclusive eco-centric capacity,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,a9c264bd-28d7-438e-9e30-65e283ed4f01,3479,73221.68,Online,Savings,APAC,27.45,Pending Investigation,Courtney Bell,2025-08-16
Expedite Clicks-And-Mortar Models,Quality-focused intermediate leverage,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,3c6f3516-fdc0-4309-b2cc-0b77d7360cae,2039,49397.96,POS,Corporate,APAC,54.22,Cleared,Edward Hunter,2025-02-01
Cultivate Next-Generation Infrastructures,Progressive dedicated function,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,646539dc-9eee-42fb-a24b-356806374060,2486,35950.26,ATM,Current,EMEA,32.85,Cleared,Terry Pratt,2025-08-21
Embrace Integrated Paradigms,Triple-buffered reciprocal methodology,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,494c97bd-76fd-4b3f-ba95-d5a181732ead,7481,99008.04,ATM,Current,Americas,83.95,Pending Investigation,Mary Hughes,2025-01-03
Syndicate Virtual Communities,Persevering clear-thinking benchmark,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,82855076-c5ab-4032-8d65-24df88abfe1f,3557,21650.51,Wire Transfer,Current,APAC,73.43,Flagged,Randy Butler,2025-06-21
Architect Enterprise Platforms,Business-focused motivating definition,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,20c1e306-841f-48d6-895e-7bf6426e9cdc,4446,85629.01,Wire Transfer,Current,APAC,43.9,Cleared,Christina Dean,2025-04-11
Morph Innovative Interfaces,Profound zero tolerance process improvement,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,a11af6e0-887d-413a-ac8c-54c5d3fbdb32,9889,51142.92,Wire Transfer,Corporate,Americas,67.88,Flagged,Alexander Sandoval,2025-09-29
Benchmark Rich Platforms,Cross-group high-level neural-net,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,de5157ee-4dfe-41a1-888f-353b3d7b1096,7923,69039.12,POS,Savings,EMEA,82.49,Cleared,Scott Schmidt,2025-03-24
Implement Bricks-And-Clicks E-Markets,User-friendly motivating infrastructure,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,ae81bc44-8ee4-4c41-a714-7535f74d4b53,9504,40799.44,POS,Corporate,APAC,48.91,Reviewed,Beth Smith,2025-10-09
Target Intuitive Eyeballs,Networked systematic array,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,89cbecac-6c49-478f-97ec-2121c3316e0c,8439,57630.64,Wire Transfer,Savings,Americas,52.07,Cleared,David Hoffman,2025-06-10
Brand Bleeding-Edge Applications,Mandatory human-resource open architecture,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,fc6e6824-e38c-4965-81c3-9d2e35b012c1,9941,48663.61,Online,Savings,APAC,22.48,Reviewed,Robert House,2025-09-11
Morph Synergistic Experiences,User-friendly dedicated concept,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,927b7854-e25a-4841-8b30-f135b18aaed3,1262,37738.16,Wire Transfer,Corporate,Americas,54.74,Pending Investigation,Heather Smith,2025-03-27
Utilize Bricks-And-Clicks Relationships,Digitized disintermediate standardization,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,558b5f1e-896e-4b58-95ba-418a847a3526,2091,31993.11,Online,Corporate,EMEA,3.37,Pending Investigation,Cynthia Shaffer,2025-09-29
Aggregate Value-Added Bandwidth,Total methodical migration,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,5a7db9a9-c538-47d7-8e2b-67c6802c1e2f,7884,74860.76,Online,Corporate,APAC,41.07,Flagged,John Perkins,2025-02-09
Deliver Clicks-And-Mortar Architectures,Self-enabling zero administration knowledgebase,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,c52ef839-89bf-4bd0-b23b-c1a787962441,9008,28572.14,ATM,Savings,Americas,72.87,Pending Investigation,Linda Woods,2025-07-19
Implement Innovative Applications,Intuitive mission-critical portal,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,bce66846-9637-44b3-88e7-ad807c6535d4,7439,12340.52,ATM,Current,EMEA,12.02,Flagged,Summer Howard,2025-08-10
Engineer Rich Architectures,Versatile motivating approach,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,20c933ed-a242-4004-b68b-2005e327f636,4853,7326.49,Wire Transfer,Corporate,APAC,35.85,Pending Investigation,Alexis Pham,2025-09-26
Empower Distributed Solutions,Visionary actuating open architecture,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,9d00c06f-1710-4fff-9107-e219925dc1ec,7007,57712.74,Wire Transfer,Corporate,APAC,87.94,Cleared,James Smith,2025-08-10
Architect Integrated E-Commerce,Profit-focused even-keeled artificial intelligence,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,8c18fd56-9955-4ca3-9d8d-aa6ad7f2210f,7448,91330.72,POS,Current,Americas,10.32,Reviewed,James Mccarthy,2025-04-11
Visualize Extensible Roi,Pre-emptive stable attitude,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,bb840422-5948-4752-baa6-23e58033d9b7,3202,87799.33,ATM,Corporate,APAC,62.11,Pending Investigation,Shelby Long,2025-06-01
Integrate Bleeding-Edge Bandwidth,Distributed human-resource core,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,8bc65d19-8a3c-4489-9482-4e7d79290e31,3200,30232.11,Wire Transfer,Current,Americas,76.32,Reviewed,Scott Moore,2025-02-13
Exploit Value-Added Channels,Profound responsive throughput,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,228eb8be-82b3-486b-8d16-72bc09732625,8184,51791.2,ATM,Corporate,Americas,38.92,Flagged,Eric Lester,2025-09-09
Seize Interactive Web Services,Programmable tertiary synergy,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,46b06015-a844-49ee-9363-870b3a42366e,1837,62840.4,Wire Transfer,Corporate,APAC,46.1,Reviewed,Amanda Mckenzie,2025-04-27
Whiteboard Distributed Portals,Optimized neutral instruction set,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,0acfe544-3dad-406b-9e8d-a10b4c1415a2,5600,41709.89,Online,Corporate,Americas,71.64,Reviewed,Stephanie Moore,2025-04-30
Syndicate Rich Deliverables,Decentralized dynamic flexibility,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,62867f5e-e809-40a3-b2b1-1f88f99c3f0a,9441,45908.52,Online,Savings,EMEA,46.47,Pending Investigation,Timothy Parker,2025-01-09
Engineer 24/7 Vortals,Vision-oriented scalable collaboration,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,c4006edf-c035-4702-8707-4e45827c029f,2589,89201.32,Wire Transfer,Savings,APAC,57.56,Cleared,Tanya Velez,2025-06-22
Implement Seamless Experiences,Phased interactive alliance,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,c745bd4c-17b3-4299-b54f-0bf421248e20,8672,98568.45,POS,Corporate,Americas,26.41,Cleared,Julie Williamson,2025-07-11
Mesh Real-Time Info-Mediaries,Distributed 24/7 adapter,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,96c3e0c8-43b5-4ec5-a366-f9a07b126e83,8339,82988.17,POS,Savings,Americas,72.06,Cleared,Lisa Erickson,2025-01-02
Re-Intermediate Out-Of-The-Box Vortals,Reduced mission-critical hardware,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,6b012d2e-6177-4770-8eed-a836aebaec2f,7728,70208.22,Online,Corporate,Americas,1.42,Reviewed,Timothy Martin,2025-03-25
Productize Magnetic Vortals,Self-enabling modular methodology,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,b096f352-5fb0-42a6-ba01-72f83ea61f34,5915,16034.12,Wire Transfer,Corporate,Americas,17.79,Flagged,Joseph Barnes,2025-09-10
Cultivate Dot-Com Systems,Right-sized background support,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,7d5ad6c5-3016-4bb4-9db1-21f9b0d0d75c,2912,27816.8,Wire Transfer,Current,Americas,71.96,Pending Investigation,Cindy Velasquez,2025-03-23
Generate Real-Time E-Business,Managed next generation knowledgebase,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,c9bc644a-fc47-4fc6-8f44-c4d80ec4fb87,9808,46770.22,POS,Current,APAC,19.97,Flagged,James Smith,2025-09-24
Strategize World-Class Networks,Assimilated client-server conglomeration,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,81a6bdef-29c6-4586-b76d-2ee9f1b52b6b,4860,92652.11,POS,Savings,EMEA,62.13,Flagged,Dawn Medina,2025-07-13
Synthesize Global Relationships,Enhanced web-enabled middleware,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,65b7abe6-0684-42d7-bb33-5486657c9a8e,7196,17633.52,POS,Current,Americas,26.41,Flagged,Thomas Vasquez,2025-08-19
Benchmark Next-Generation Metrics,Synergized optimal knowledge user,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,52e3c84e-7496-4bf4-94fa-608366d81b1f,4992,434.98,Online,Corporate,Americas,7.64,Cleared,Donna Brown,2025-03-08
Brand Wireless Channels,Monitored background Local Area Network,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,a147a7af-e172-4f75-8f1b-dfdb8bb7efde,7285,48076.55,ATM,Savings,APAC,49.04,Flagged,Erika Fox,2025-06-15
Orchestrate Ubiquitous Schemas,Sharable local superstructure,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,ced6845a-58d0-4843-b2b7-e0d267cb7e95,4566,11395.67,POS,Current,Americas,51.77,Cleared,April Bradley,2025-04-10
Engineer Transparent Experiences,Vision-oriented well-modulated hierarchy,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,a314378a-55d2-4b10-9e89-c7848451bb4e,9561,78962.09,ATM,Current,EMEA,53.35,Cleared,Sarah Carson,2025-02-09
Unleash Rich Eyeballs,Multi-lateral modular pricing structure,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,f614f1e8-e1cd-4bc4-a9b0-8b6c46ffa739,6167,61377.33,POS,Corporate,EMEA,77.99,Pending Investigation,Jack Bailey,2025-05-29
Transition Extensible Deliverables,Stand-alone disintermediate artificial intelligence,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,6b884c5c-9d76-46b3-952f-fc0a5dba44de,4843,37695.85,POS,Current,Americas,1.9,Reviewed,Justin Martinez,2025-03-11
Orchestrate Plug-And-Play Bandwidth,Cross-group actuating Graphical User Interface,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,f59b936d-783f-4731-80cd-2db075202b18,1983,25908.94,Online,Savings,APAC,48.77,Flagged,Jamie Logan,2025-06-09
Orchestrate Impactful Methodologies,Synergized empowering methodology,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,2916d3f5-8882-45fa-afab-7bb43290d567,8363,10357.86,Online,Savings,EMEA,87.07,Cleared,Haley Walker,2025-09-18
Incentivize Extensible Vortals,Assimilated incremental help-desk,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,94b16c51-3df3-4816-b85c-57dad5a20a02,6708,32956.02,POS,Savings,APAC,61.25,Cleared,Margaret Sweeney,2025-01-01
Grow Holistic Infrastructures,Phased web-enabled protocol,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,36befbaa-b190-4d02-af4f-e64a2c9ad21b,2270,44918.93,Online,Current,APAC,27.21,Cleared,James Moore,2025-02-20
Visualize Distributed Vortals,Versatile coherent ability,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,bc6e94ef-e86d-4bd9-89a4-8840cdc7aa34,5384,24169.19,Online,Corporate,EMEA,21.69,Pending Investigation,Luke Bell,2025-07-09
Synthesize Bricks-And-Clicks Web-Readiness,Proactive stable firmware,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,9c5f845e-c1ed-48d9-80f9-372f35f32bfe,1403,33388.42,Online,Corporate,Americas,68.35,Reviewed,Jessica Rogers,2025-02-04
Enable Viral Users,Optional systemic portal,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,07bb98bd-b9ac-4d18-81e8-bb20aa829b45,8458,87566.92,Wire Transfer,Savings,APAC,57.96,Pending Investigation,Monica Carey,2025-09-07
Repurpose Interactive E-Business,Devolved mission-critical info-mediaries,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,4e5886d5-1ac0-4dc2-b59f-95ac9a121678,3983,56661.67,POS,Current,Americas,94.5,Pending Investigation,Denise Lee,2025-08-04
Productize E-Business Communities,Reduced zero-defect orchestration,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,973dae56-1bd6-40e0-af13-e8ad36c8f3d8,4439,4022.91,Wire Transfer,Current,Americas,49.69,Cleared,Patrick Ramos,2025-08-09
Evolve Best-Of-Breed Convergence,Upgradable value-added support,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,6912ff60-8102-4707-b187-d0bdb470c897,2375,64482.78,Online,Current,Americas,41.39,Cleared,Renee Ramos,2025-02-06
Generate 24/365 Models,Re-contextualized actuating workforce,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,9fc7d203-4921-4fbf-a842-80fd8d8da9a9,3440,32749.6,ATM,Corporate,APAC,44.31,Flagged,Eric George,2025-08-07
Engineer Strategic Markets,Re-contextualized next generation conglomeration,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,37b7fbe4-1a6d-47e4-9e35-3b34c6c7c2bb,2066,51552.73,POS,Current,APAC,78.71,Flagged,Megan Casey,2025-03-08
Orchestrate Virtual Methodologies,Programmable multi-tasking help-desk,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,32759ba9-9fb0-44db-b137-c4918b21e4e3,2734,30094.73,ATM,Current,Americas,88.0,Flagged,Heather Casey,2025-08-18
Optimize Interactive Channels,Organized zero tolerance budgetary management,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,4e283eff-96dd-4df6-b229-0b36b6fa9e3d,6858,99947.31,ATM,Corporate,Americas,93.58,Reviewed,Kristen Duran,2025-03-04
Re-Contextualize End-To-End Experiences,Visionary bifurcated definition,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,cca5eb18-9a46-4961-9694-828ad4bf1de0,6053,75876.76,Wire Transfer,Corporate,EMEA,4.61,Flagged,David Herman,2025-02-08
Productize Enterprise Convergence,Fully-configurable solution-oriented customer loyalty,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,626573a1-1bd8-4c4e-9ab2-91607ba4e037,2071,34999.48,Wire Transfer,Savings,EMEA,75.48,Flagged,Brandy Orozco,2025-05-12
Syndicate Granular Users,Universal high-level approach,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,4f5238fb-e26c-41cb-b5be-486817749af9,4401,77780.44,ATM,Savings,Americas,9.37,Flagged,Ashley Morrison,2025-04-28
Whiteboard Sticky Systems,Inverse logistical secured line,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,992f5bd7-a8c5-447e-b635-8e3067407f18,4901,31740.19,Wire Transfer,Corporate,APAC,30.5,Reviewed,Mary Davidson,2025-06-19
Harness Cross-Platform Metrics,Sharable dynamic complexity,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,43cadd13-61e1-45e7-898d-67cad7b12e1b,6017,82072.75,ATM,Current,Americas,6.1,Flagged,George Walters,2025-07-17
Optimize Vertical Info-Mediaries,Upgradable intermediate data-warehouse,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,64679a56-4a3b-453b-86db-8c7a110c0d8d,8078,66270.75,Online,Current,Americas,39.52,Cleared,Matthew Ward,2025-02-22
Morph Cutting-Edge Relationships,Automated eco-centric initiative,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,2f990b81-8890-4443-8363-f7ba3d7b0666,5963,25701.17,Online,Savings,APAC,44.29,Cleared,John Morales,2025-05-02
Morph Impactful Experiences,Proactive 4thgeneration collaboration,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,fd6309bc-0b4f-4ca5-bea6-7d6aee1f0f37,8895,15298.63,Online,Corporate,EMEA,38.04,Reviewed,Ryan Horton,2025-08-29
Seize Web-Enabled Vortals,Enhanced upward-trending groupware,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,4aa09836-4aeb-4875-a34e-af10223542c5,3994,21088.05,Wire Transfer,Current,APAC,85.19,Cleared,Danielle Reed,2025-02-27
Transform Intuitive Solutions,Universal multimedia installation,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,423609f1-14f8-4302-a270-089804e39059,5039,3657.66,POS,Current,Americas,22.43,Pending Investigation,Jean Macdonald,2025-10-05
Innovate Distributed Paradigms,Switchable optimal customer loyalty,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,8da061b4-d70d-4a97-85be-c3c803edb26f,7949,88495.08,ATM,Savings,Americas,66.64,Cleared,Victor Kelly DVM,2025-01-29
Enhance Holistic Portals,Intuitive reciprocal approach,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,e0987d07-ce31-44bb-935f-3f09424896d9,8143,67914.42,POS,Current,Americas,38.4,Reviewed,Kathryn Becker,2025-09-13
Optimize Vertical Web-Readiness,Right-sized attitude-oriented parallelism,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,fee78bad-1a54-44e5-a073-233b51aed032,8174,72084.56,Wire Transfer,Current,EMEA,43.32,Cleared,Brenda Alexander,2025-02-21
Transform Innovative Relationships,Pre-emptive value-added workforce,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,47074f6b-b827-4dfa-9cdf-62a829828e51,8966,34740.04,ATM,Savings,APAC,5.09,Reviewed,Amy Ramos,2025-08-14
Architect Efficient E-Business,Expanded bi-directional benchmark,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,ca56bc5e-a92b-48af-a06d-d145a053d003,7475,34280.58,Wire Transfer,Savings,EMEA,47.32,Pending Investigation,Jamie Clements,2025-09-19
Innovate Frictionless Eyeballs,Innovative incremental synergy,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,6902156c-fad3-4363-ac93-0c0fed922754,7633,56225.61,POS,Corporate,EMEA,53.76,Pending Investigation,Christopher Brown,2025-10-13
Monetize Out-Of-The-Box Niches,Persistent system-worthy knowledgebase,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,3e3f4c42-cd53-48c4-b535-5e8c256d5750,1434,18934.4,Online,Current,EMEA,69.48,Pending Investigation,Christopher Ferguson,2025-08-06
Seize Leading-Edge Communities,De-engineered hybrid neural-net,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,ab75a54c-f2d1-4356-9e07-9edf33d724a0,6040,61006.34,Wire Transfer,Corporate,EMEA,75.79,Cleared,Jason Swanson,2025-09-22
Harness Bricks-And-Clicks E-Commerce,Integrated homogeneous hierarchy,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,b80fd269-45af-40e6-8a1a-fa641cb4ff87,6807,78606.73,POS,Savings,Americas,72.46,Pending Investigation,Amanda Garcia,2025-05-28
E-Enable Proactive Initiatives,Upgradable bi-directional budgetary management,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,76347bcf-6e40-4b49-86c8-61ea09100224,1901,20425.48,Wire Transfer,Savings,EMEA,7.43,Cleared,Audrey Howard,2025-01-14
