Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Customer ID,Interest Rate (%),Compliance Score
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4115,5.9,96.27
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3718,12.7,99.73
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2906,9.79,68.71
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8234,8.12,91.25
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6301,2.15,86.83
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2333,3.02,97.95
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5914,7.21,73.46
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2929,4.9,62.25
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1153,11.42,69.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4209,1.78,74.66
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9432,12.21,53.29
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1489,3.87,50.58
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8627,5.47,50.36
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4195,0.84,75.11
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1313,1.64,76.79
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5036,6.26,97.9
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5891,11.23,65.2
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1032,1.17,79.53
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9721,14.54,91.1
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3709,4.01,74.34
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1540,6.36,55.53
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9360,12.14,94.58
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2630,9.17,82.31
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6176,8.88,83.55
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2399,2.08,98.77
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2311,2.54,56.08
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8698,8.88,92.1
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9608,4.63,73.34
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1559,12.04,63.52
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8717,6.52,92.97
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4927,11.67,54.68
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7380,5.23,78.77
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5841,3.85,53.25
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9748,5.48,80.76
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1047,8.86,50.7
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6303,1.88,53.36
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4142,8.92,91.14
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2332,14.38,50.36
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7407,8.3,66.63
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7844,3.0,68.15
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1504,3.7,50.59
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3467,8.23,71.59
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2446,10.51,77.89
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8669,8.07,67.26
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1895,1.91,60.37
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4825,14.38,89.08
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9591,6.16,96.98
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7609,5.63,90.15
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9906,13.54,87.59
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7130,8.8,98.04
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6978,4.94,58.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9646,11.34,63.89
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3500,2.72,98.96
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4038,6.74,87.5
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7540,12.68,64.41
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6545,9.39,88.7
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3434,5.07,72.06
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7294,12.03,85.36
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5861,1.17,85.47
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4235,3.16,75.97
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9912,4.97,80.01
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2872,12.34,67.12
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1488,11.23,59.54
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8131,11.92,80.63
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5922,10.36,74.22
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7911,7.85,98.82
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3449,5.49,54.5
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6683,8.79,82.2
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8869,3.96,69.51
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9492,1.63,66.01
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3297,7.25,71.6
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6639,0.51,81.61
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7338,12.62,76.12
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5451,11.03,80.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7194,5.31,55.08
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9352,1.62,89.43
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2229,14.96,93.46
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2156,6.85,78.33
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8549,9.09,70.41
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1891,9.16,70.29
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6896,4.81,92.2
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3897,9.32,82.88
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3428,10.87,57.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9822,4.72,72.13
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9726,5.61,83.08
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2120,9.51,59.83
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7485,4.92,68.0
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8664,12.97,85.2
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4907,3.08,98.03
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5298,5.42,85.66
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7385,9.41,82.7
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7150,8.11,54.26
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5381,4.19,99.59
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1517,3.4,91.95
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8241,5.36,55.46
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7567,4.07,63.19
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8913,10.49,82.64
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6377,13.65,72.71
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2994,3.81,56.49
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5911,6.05,88.59
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8110,10.01,65.68
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3321,11.07,98.72
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7197,9.18,75.71
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7469,3.3,86.52
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5441,4.5,94.83
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1732,9.54,60.8
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1773,6.05,64.29
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7354,6.69,91.71
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2601,13.81,70.9
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9243,3.53,83.26
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1990,4.79,91.62
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4482,10.69,84.09
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4820,11.62,63.36
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3581,8.94,68.52
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5467,9.01,90.32
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2150,10.58,83.21
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5411,13.15,55.92
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8408,3.04,80.1
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3518,8.42,64.14
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8244,14.35,99.06
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4770,12.6,77.6
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5792,14.07,93.91
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2519,1.09,61.63
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9705,5.16,51.28
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3228,10.81,82.62
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2857,2.04,54.67
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5404,1.73,55.84
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7532,2.72,67.76
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7595,5.65,94.28
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6873,10.37,97.33
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1035,2.49,99.57
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9034,12.77,82.31
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9238,9.42,71.55
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3895,13.56,98.73
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9960,3.39,64.06
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8116,2.33,88.51
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3017,5.35,61.21
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1608,1.04,86.58
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5876,3.94,51.25
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5338,13.2,69.86
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7710,6.56,68.95
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6563,12.08,55.04
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2279,14.57,83.33
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3907,1.5,96.71
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3792,7.58,94.82
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3676,12.28,53.05
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4759,13.28,64.84
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4648,3.74,55.77
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8382,4.24,78.6
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1468,14.54,65.04
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8047,10.58,88.02
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8201,13.65,70.88
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7270,12.2,99.55
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7428,13.35,92.6
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4352,8.52,79.25
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1503,14.79,90.93
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3143,6.49,75.9
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9781,3.77,83.72
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6641,10.99,86.12
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4616,13.52,58.43
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6770,3.57,98.65
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7519,8.96,82.34
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5604,6.72,63.43
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9204,14.89,69.56
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7498,11.31,74.3
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5530,2.36,77.35
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3743,5.37,93.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7575,10.42,67.63
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1016,3.83,74.41
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3392,14.07,70.12
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9167,4.78,73.84
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8622,13.31,50.32
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2841,6.35,69.33
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1839,10.97,83.48
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1410,12.22,98.39
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6103,14.76,99.58
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6446,12.96,95.96
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5969,5.8,56.7
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1031,14.9,80.41
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6287,6.3,88.71
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1368,6.85,80.49
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1364,6.64,97.43
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3000,6.72,60.56
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1236,13.95,89.89
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7648,9.49,63.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2063,4.84,98.33
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5472,0.53,73.78
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1322,0.69,91.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7025,5.66,75.51
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1229,2.07,63.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2782,13.2,86.34
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8064,3.46,94.04
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5629,14.9,73.7
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5103,10.84,81.97
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5608,3.48,71.57
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4124,8.43,96.3
